GO biological process complete,allexp_forGO.txt - REFLIST (12841),plasticdown.txt (4129),plasticdown.txt (expected),plasticdown.txt (over/under),plasticdown.txt (fold Enrichment),plasticdown.txt (raw P-value),plasticdown.txt (FDR),plasticup.txt (4158),plasticup.txt (expected),plasticup.txt (over/under),plasticup.txt (fold Enrichment),plasticup.txt (raw P-value),plasticup.txt (FDR),plastic8down.txt (2285),plastic8down.txt (expected),plastic8down.txt (over/under),plastic8down.txt (fold Enrichment),plastic8down.txt (raw P-value),plastic8down.txt (FDR),plastic_ref_forGO.txt (7679),plastic_ref_forGO.txt (expected),plastic_ref_forGO.txt (over/under),plastic_ref_forGO.txt (fold Enrichment),plastic_ref_forGO.txt (raw P-value),plastic_ref_forGO.txt (FDR)
DNA replication (GO:0006260),97,27,31.19,-,0.87,0.599,1,15,31.41,-,0.48,0.00553,0.227,12,17.26,-,0.7,0.282,1,38,58.01,-,0.66,0.0257,1
gene expression (GO:0010467),1089,303,350.17,-,0.87,0.0206,0.661,318,352.63,-,0.9,0.0923,1,174,193.78,-,0.9,0.176,1,594,651.23,-,0.91,0.062,1
organic substance catabolic process (GO:1901575),762,212,245.02,-,0.87,0.0546,1,314,246.74,+,1.27,0.000246,0.0204,135,135.59,-,1,1,1,491,455.68,+,1.08,0.185,1
response to organic substance (GO:0010033),1007,280,323.8,-,0.86,0.0257,0.772,439,326.07,+,1.35,1.05E-07,5.43E-05,152,179.19,-,0.85,0.0496,0.633,651,602.19,+,1.08,0.106,1
exocytosis (GO:0006887),36,10,11.58,-,0.86,0.863,1,16,11.66,+,1.37,0.331,1,6,6.41,-,0.94,1,1,23,21.53,+,1.07,0.789,1
male meiotic nuclear division (GO:0007140),18,5,5.79,-,0.86,1,1,3,5.83,-,0.51,0.445,1,3,3.2,-,0.94,1,1,7,10.76,-,0.65,0.411,1
tRNA wobble base modification (GO:0002097),18,5,5.79,-,0.86,1,1,8,5.83,+,1.37,0.493,1,2,3.2,-,0.62,0.757,1,13,10.76,+,1.21,0.584,1
inflorescence development (GO:0010229),18,5,5.79,-,0.86,1,1,8,5.83,+,1.37,0.493,1,1,3.2,-,0.31,0.342,1,11,10.76,+,1.02,1,1
detection of light stimulus (GO:0009583),18,5,5.79,-,0.86,1,1,5,5.83,-,0.86,1,1,2,3.2,-,0.62,0.757,1,10,10.76,-,0.93,1,1
response to UV (GO:0009411),90,25,28.94,-,0.86,0.586,1,34,29.14,+,1.17,0.463,1,17,16.02,+,1.06,0.787,1,53,53.82,-,0.98,1,1
regulation of metabolic process (GO:0019222),1762,488,566.57,-,0.86,0.00169,0.193,619,570.55,+,1.08,0.0606,1,211,313.54,-,0.67,1.45E-09,3.77E-07,1028,1053.69,-,0.98,0.514,1
protein modification by small protein removal (GO:0070646),65,18,20.9,-,0.86,0.7,1,21,21.05,-,1,1,1,9,11.57,-,0.78,0.625,1,34,38.87,-,0.87,0.603,1
photoperiodism (GO:0009648),65,18,20.9,-,0.86,0.7,1,23,21.05,+,1.09,0.71,1,9,11.57,-,0.78,0.625,1,39,38.87,+,1,1,1
response to stress (GO:0006950),1867,517,600.33,-,0.86,0.00108,0.158,742,604.55,+,1.23,4.33E-07,0.000155,309,332.22,-,0.93,0.207,1,1155,1116.48,+,1.03,0.329,1
nucleic acid-templated transcription (GO:0097659),152,42,48.88,-,0.86,0.401,1,47,49.22,-,0.95,0.868,1,17,27.05,-,0.63,0.0664,0.752,84,90.9,-,0.92,0.589,1
"transcription, DNA-templated (GO:0006351)",152,42,48.88,-,0.86,0.401,1,47,49.22,-,0.95,0.868,1,17,27.05,-,0.63,0.0664,0.751,84,90.9,-,0.92,0.589,1
metallo-sulfur cluster assembly (GO:0031163),29,8,9.32,-,0.86,0.848,1,9,9.39,-,0.96,1,1,10,5.16,+,1.94,0.0733,0.785,16,17.34,-,0.92,0.878,1
iron-sulfur cluster assembly (GO:0016226),29,8,9.32,-,0.86,0.848,1,9,9.39,-,0.96,1,1,10,5.16,+,1.94,0.0733,0.784,16,17.34,-,0.92,0.878,1
serine family amino acid biosynthetic process (GO:0009070),29,8,9.32,-,0.86,0.848,1,7,9.39,-,0.75,0.565,1,10,5.16,+,1.94,0.0733,0.782,14,17.34,-,0.81,0.636,1
cellular response to cytokinin stimulus (GO:0071368),29,8,9.32,-,0.86,0.848,1,5,9.39,-,0.53,0.232,1,2,5.16,-,0.39,0.217,1,12,17.34,-,0.69,0.334,1
pollen development (GO:0009555),214,59,68.81,-,0.86,0.32,1,56,69.29,-,0.81,0.175,1,30,38.08,-,0.79,0.241,1,102,127.97,-,0.8,0.0608,1
innate immune response (GO:0045087),185,51,59.49,-,0.86,0.359,1,99,59.9,+,1.65,8.85E-05,0.00902,22,32.92,-,0.67,0.0779,0.803,131,110.63,+,1.18,0.143,1
mitochondrial gene expression (GO:0140053),40,11,12.86,-,0.86,0.745,1,10,12.95,-,0.77,0.515,1,7,7.12,-,0.98,1,1,20,23.92,-,0.84,0.594,1
glycerophospholipid metabolic process (GO:0006650),102,28,32.8,-,0.85,0.538,1,17,33.03,-,0.51,0.00978,0.353,19,18.15,+,1.05,0.8,1,42,61,-,0.69,0.0465,1
cellular response to phosphate starvation (GO:0016036),51,14,16.4,-,0.85,0.666,1,23,16.51,+,1.39,0.178,1,11,9.08,+,1.21,0.592,1,34,30.5,+,1.11,0.654,1
nucleic acid metabolic process (GO:0090304),1236,339,397.43,-,0.85,0.00607,0.354,308,400.22,-,0.77,1.17E-05,0.0021,152,219.94,-,0.69,3.31E-06,0.000411,611,739.14,-,0.83,4.92E-05,0.281
alpha-amino acid catabolic process (GO:1901606),62,17,19.94,-,0.85,0.693,1,30,20.08,+,1.49,0.0875,1,13,11.03,+,1.18,0.627,1,42,37.08,+,1.13,0.543,1
cellular response to external stimulus (GO:0071496),135,37,43.41,-,0.85,0.422,1,57,43.71,+,1.3,0.0917,1,27,24.02,+,1.12,0.581,1,87,80.73,+,1.08,0.578,1
ATP metabolic process (GO:0046034),84,23,27.01,-,0.85,0.572,1,33,27.2,+,1.21,0.333,1,20,14.95,+,1.34,0.27,1,50,50.23,-,1,1,1
positive regulation of protein metabolic process (GO:0051247),84,23,27.01,-,0.85,0.572,1,32,27.2,+,1.18,0.448,1,11,14.95,-,0.74,0.39,1,51,50.23,+,1.02,0.929,1
response to wounding (GO:0009611),139,38,44.7,-,0.85,0.428,1,72,45.01,+,1.6,0.00159,0.0843,19,24.73,-,0.77,0.315,1,99,83.12,+,1.19,0.2,1
histone lysine demethylation (GO:0070076),11,3,3.54,-,0.85,1,1,3,3.56,-,0.84,1,1,0,1.96,-, < 0.01,0.389,1,6,6.58,-,0.91,1,1
histone demethylation (GO:0016577),11,3,3.54,-,0.85,1,1,3,3.56,-,0.84,1,1,0,1.96,-, < 0.01,0.389,1,6,6.58,-,0.91,1,1
regulation of circadian rhythm (GO:0042752),44,12,14.15,-,0.85,0.755,1,8,14.25,-,0.56,0.147,1,3,7.83,-,0.38,0.104,0.94,19,26.31,-,0.72,0.244,1
anaphase-promoting complex-dependent catabolic process (GO:0031145),11,3,3.54,-,0.85,1,1,3,3.56,-,0.84,1,1,0,1.96,-, < 0.01,0.389,1,6,6.58,-,0.91,1,1
regulation of GTPase activity (GO:0043087),22,6,7.07,-,0.85,0.829,1,7,7.12,-,0.98,1,1,5,3.91,+,1.28,0.59,1,13,13.16,-,0.99,1,1
primary miRNA processing (GO:0031053),11,3,3.54,-,0.85,1,1,4,3.56,+,1.12,0.77,1,1,1.96,-,0.51,1,1,6,6.58,-,0.91,1,1
regulation of peptidyl-lysine acetylation (GO:2000756),11,3,3.54,-,0.85,1,1,1,3.56,-,0.28,0.315,1,0,1.96,-, < 0.01,0.389,1,3,6.58,-,0.46,0.276,1
regulation of metal ion transport (GO:0010959),11,3,3.54,-,0.85,1,1,1,3.56,-,0.28,0.315,1,3,1.96,+,1.53,0.457,1,4,6.58,-,0.61,0.439,1
phospholipid biosynthetic process (GO:0008654),88,24,28.3,-,0.85,0.509,1,21,28.49,-,0.74,0.221,1,20,15.66,+,1.28,0.344,1,43,52.62,-,0.82,0.319,1
signal peptide processing (GO:0006465),11,3,3.54,-,0.85,1,1,3,3.56,-,0.84,1,1,2,1.96,+,1.02,1,1,6,6.58,-,0.91,1,1
trehalose metabolic process (GO:0005991),11,3,3.54,-,0.85,1,1,6,3.56,+,1.68,0.394,1,2,1.96,+,1.02,1,1,9,6.58,+,1.37,0.495,1
macromolecule catabolic process (GO:0009057),473,129,152.09,-,0.85,0.1,1,185,153.16,+,1.21,0.0296,0.751,70,84.17,-,0.83,0.16,1,294,282.86,+,1.04,0.595,1
regulation of protein acetylation (GO:1901983),11,3,3.54,-,0.85,1,1,1,3.56,-,0.28,0.315,1,0,1.96,-, < 0.01,0.389,1,3,6.58,-,0.46,0.276,1
regulation of transporter activity (GO:0032409),11,3,3.54,-,0.85,1,1,4,3.56,+,1.12,0.77,1,3,1.96,+,1.53,0.457,1,7,6.58,+,1.06,1,1
regulation of histone acetylation (GO:0035065),11,3,3.54,-,0.85,1,1,1,3.56,-,0.28,0.315,1,0,1.96,-, < 0.01,0.389,1,3,6.58,-,0.46,0.276,1
sphingoid metabolic process (GO:0046519),11,3,3.54,-,0.85,1,1,4,3.56,+,1.12,0.77,1,3,1.96,+,1.53,0.457,1,6,6.58,-,0.91,1,1
double-strand break repair via break-induced replication (GO:0000727),11,3,3.54,-,0.85,1,1,0,3.56,-, < 0.01,0.0766,1,2,1.96,+,1.02,1,1,3,6.58,-,0.46,0.276,1
regulation of embryonic development (GO:0045995),11,3,3.54,-,0.85,1,1,4,3.56,+,1.12,0.77,1,0,1.96,-, < 0.01,0.389,1,6,6.58,-,0.91,1,1
negative regulation of lipid metabolic process (GO:0045833),11,3,3.54,-,0.85,1,1,5,3.56,+,1.4,0.561,1,2,1.96,+,1.02,1,1,7,6.58,+,1.06,1,1
response to jasmonic acid (GO:0009753),110,30,35.37,-,0.85,0.489,1,51,35.62,+,1.43,0.0421,0.951,14,19.57,-,0.72,0.259,1,70,65.78,+,1.06,0.699,1
inorganic cation import across plasma membrane (GO:0098659),11,3,3.54,-,0.85,1,1,3,3.56,-,0.84,1,1,1,1.96,-,0.51,1,1,6,6.58,-,0.91,1,1
DNA integrity checkpoint (GO:0031570),22,6,7.07,-,0.85,0.829,1,3,7.12,-,0.42,0.169,1,1,3.91,-,0.26,0.239,1,8,13.16,-,0.61,0.261,1
negative regulation of translation (GO:0017148),22,6,7.07,-,0.85,0.829,1,9,7.12,+,1.26,0.534,1,4,3.91,+,1.02,1,1,15,13.16,+,1.14,0.735,1
regulation of primary metabolic process (GO:0080090),1446,394,464.96,-,0.85,0.00188,0.199,519,468.22,+,1.11,0.0339,0.835,162,257.31,-,0.63,5.4E-10,1.62E-07,847,864.72,-,0.98,0.631,1
response to acid chemical (GO:0001101),236,64,75.89,-,0.84,0.248,1,111,76.42,+,1.45,0.00127,0.0721,40,42,-,0.95,0.865,1,160,141.13,+,1.13,0.228,1
gamete generation (GO:0007276),48,13,15.43,-,0.84,0.656,1,9,15.54,-,0.58,0.164,1,7,8.54,-,0.82,0.85,1,21,28.7,-,0.73,0.263,1
cellular response to abscisic acid stimulus (GO:0071215),85,23,27.33,-,0.84,0.501,1,48,27.52,+,1.74,0.0031,0.144,10,15.13,-,0.66,0.251,1,63,50.83,+,1.24,0.202,1
cellular response to alcohol (GO:0097306),85,23,27.33,-,0.84,0.501,1,48,27.52,+,1.74,0.0031,0.143,10,15.13,-,0.66,0.251,1,63,50.83,+,1.24,0.202,1
regulation of growth (GO:0040008),137,37,44.05,-,0.84,0.375,1,45,44.36,+,1.01,0.931,1,16,24.38,-,0.66,0.113,0.929,75,81.93,-,0.92,0.569,1
protein glycosylation (GO:0006486),100,27,32.15,-,0.84,0.468,1,27,32.38,-,0.83,0.468,1,9,17.79,-,0.51,0.0439,0.598,50,59.8,-,0.84,0.311,1
macromolecule glycosylation (GO:0043413),100,27,32.15,-,0.84,0.468,1,27,32.38,-,0.83,0.468,1,9,17.79,-,0.51,0.0439,0.595,50,59.8,-,0.84,0.311,1
regulation of cell growth (GO:0001558),63,17,20.26,-,0.84,0.602,1,22,20.4,+,1.08,0.8,1,4,11.21,-,0.36,0.0384,0.56,35,37.67,-,0.93,0.755,1
regulation of multicellular organismal process (GO:0051239),267,72,85.85,-,0.84,0.201,1,82,86.46,-,0.95,0.706,1,30,47.51,-,0.63,0.0139,0.281,138,159.67,-,0.86,0.162,1
regulation of DNA-dependent DNA replication (GO:0090329),26,7,8.36,-,0.84,0.84,1,7,8.42,-,0.83,0.84,1,2,4.63,-,0.43,0.301,1,12,15.55,-,0.77,0.506,1
ncRNA processing (GO:0034470),286,77,91.96,-,0.84,0.174,1,85,92.61,-,0.92,0.502,1,45,50.89,-,0.88,0.485,1,153,171.03,-,0.89,0.273,1
response to sucrose (GO:0009744),52,14,16.72,-,0.84,0.667,1,23,16.84,+,1.37,0.225,1,8,9.25,-,0.86,0.857,1,35,31.1,+,1.13,0.581,1
cytokinin-activated signaling pathway (GO:0009736),26,7,8.36,-,0.84,0.84,1,3,8.42,-,0.36,0.085,1,2,4.63,-,0.43,0.301,1,10,15.55,-,0.64,0.301,1
regulation of jasmonic acid mediated signaling pathway (GO:2000022),26,7,8.36,-,0.84,0.84,1,12,8.42,+,1.43,0.344,1,4,4.63,-,0.86,1,1,19,15.55,+,1.22,0.539,1
phospholipid metabolic process (GO:0006644),145,39,46.62,-,0.84,0.343,1,36,46.95,-,0.77,0.164,1,30,25.8,+,1.16,0.457,1,70,86.71,-,0.81,0.156,1
regulation of biosynthetic process (GO:0009889),1253,337,402.9,-,0.84,0.00213,0.21,446,405.73,+,1.1,0.0743,1,141,222.97,-,0.63,1.43E-08,2.91E-06,730,749.3,-,0.97,0.574,1
signaling (GO:0023052),647,174,208.04,-,0.84,0.0334,0.875,278,209.5,+,1.33,6.94E-05,0.00762,86,115.13,-,0.75,0.00815,0.198,412,386.91,+,1.06,0.312,1
regulation of localization (GO:0032879),93,25,29.9,-,0.84,0.453,1,31,30.11,+,1.03,0.916,1,14,16.55,-,0.85,0.684,1,54,55.61,-,0.97,0.932,1
cellular response to nutrient levels (GO:0031669),108,29,34.73,-,0.84,0.425,1,46,34.97,+,1.32,0.131,1,21,19.22,+,1.09,0.711,1,71,64.58,+,1.1,0.536,1
immune response (GO:0006955),190,51,61.09,-,0.83,0.29,1,103,61.52,+,1.67,3.57E-05,0.00486,23,33.81,-,0.68,0.0826,0.813,135,113.62,+,1.19,0.133,1
signal transduction (GO:0007165),641,172,206.11,-,0.83,0.0326,0.857,276,207.56,+,1.33,6.48E-05,0.0074,86,114.06,-,0.75,0.0108,0.238,408,383.32,+,1.06,0.31,1
lipid modification (GO:0030258),82,22,26.37,-,0.83,0.493,1,28,26.55,+,1.05,0.824,1,12,14.59,-,0.82,0.664,1,46,49.04,-,0.94,0.784,1
negative regulation of cellular metabolic process (GO:0031324),306,82,98.39,-,0.83,0.151,1,109,99.08,+,1.1,0.386,1,40,54.45,-,0.73,0.068,0.761,175,182.99,-,0.96,0.668,1
cellular response to stimulus (GO:0051716),1437,385,462.06,-,0.83,0.000718,0.124,572,465.31,+,1.23,1.1E-05,0.00217,209,255.71,-,0.82,0.00353,0.113,876,859.34,+,1.02,0.632,1
glycoprotein biosynthetic process (GO:0009101),101,27,32.48,-,0.83,0.469,1,27,32.7,-,0.83,0.41,1,9,17.97,-,0.5,0.044,0.596,50,60.4,-,0.83,0.311,1
tissue development (GO:0009888),382,102,122.83,-,0.83,0.0956,1,122,123.69,-,0.99,0.916,1,45,67.98,-,0.66,0.00608,0.161,208,228.44,-,0.91,0.281,1
cell communication (GO:0007154),798,213,256.6,-,0.83,0.0126,0.557,346,258.4,+,1.34,4.19E-06,0.00104,116,142,-,0.82,0.036,0.546,510,477.21,+,1.07,0.226,1
phosphate ion transport (GO:0006817),15,4,4.82,-,0.83,1,1,5,4.86,+,1.03,1,1,4,2.67,+,1.5,0.516,1,9,8.97,+,1,1,1
one-carbon metabolic process (GO:0006730),15,4,4.82,-,0.83,1,1,2,4.86,-,0.41,0.273,1,3,2.67,+,1.12,0.746,1,6,8.97,-,0.67,0.502,1
rRNA modification (GO:0000154),30,8,9.65,-,0.83,0.85,1,9,9.71,-,0.93,1,1,3,5.34,-,0.56,0.467,1,15,17.94,-,0.84,0.645,1
regulation of cell wall organization or biogenesis (GO:1903338),15,4,4.82,-,0.83,1,1,4,4.86,-,0.82,1,1,3,2.67,+,1.12,0.746,1,8,8.97,-,0.89,1,1
methionine metabolic process (GO:0006555),15,4,4.82,-,0.83,1,1,6,4.86,+,1.24,0.618,1,3,2.67,+,1.12,0.746,1,10,8.97,+,1.11,0.837,1
nucleoside biosynthetic process (GO:0009163),15,4,4.82,-,0.83,1,1,4,4.86,-,0.82,1,1,4,2.67,+,1.5,0.516,1,8,8.97,-,0.89,1,1
protein deacetylation (GO:0006476),15,4,4.82,-,0.83,1,1,3,4.86,-,0.62,0.588,1,3,2.67,+,1.12,0.746,1,7,8.97,-,0.78,0.665,1
tRNA wobble uridine modification (GO:0002098),15,4,4.82,-,0.83,1,1,8,4.86,+,1.65,0.234,1,2,2.67,-,0.75,1,1,12,8.97,+,1.34,0.551,1
ribonucleoside biosynthetic process (GO:0042455),15,4,4.82,-,0.83,1,1,4,4.86,-,0.82,1,1,4,2.67,+,1.5,0.516,1,8,8.97,-,0.89,1,1
purine nucleoside biosynthetic process (GO:0042451),15,4,4.82,-,0.83,1,1,4,4.86,-,0.82,1,1,4,2.67,+,1.5,0.516,1,8,8.97,-,0.89,1,1
chromosome condensation (GO:0030261),15,4,4.82,-,0.83,1,1,2,4.86,-,0.41,0.273,1,2,2.67,-,0.75,1,1,6,8.97,-,0.67,0.502,1
floral organ morphogenesis (GO:0048444),30,8,9.65,-,0.83,0.85,1,9,9.71,-,0.93,1,1,6,5.34,+,1.12,0.815,1,13,17.94,-,0.72,0.35,1
purine ribonucleoside biosynthetic process (GO:0046129),15,4,4.82,-,0.83,1,1,4,4.86,-,0.82,1,1,4,2.67,+,1.5,0.516,1,8,8.97,-,0.89,1,1
positive regulation of DNA metabolic process (GO:0051054),15,4,4.82,-,0.83,1,1,4,4.86,-,0.82,1,1,3,2.67,+,1.12,0.746,1,8,8.97,-,0.89,1,1
regulation of cellular biosynthetic process (GO:0031326),1228,327,394.86,-,0.83,0.0014,0.177,440,397.63,+,1.11,0.0588,1,135,218.52,-,0.62,4.95E-09,1.09E-06,714,734.35,-,0.97,0.538,1
glycoprotein metabolic process (GO:0009100),109,29,35.05,-,0.83,0.425,1,29,35.29,-,0.82,0.372,1,10,19.4,-,0.52,0.0394,0.565,54,65.18,-,0.83,0.291,1
aging (GO:0007568),94,25,30.23,-,0.83,0.453,1,48,30.44,+,1.58,0.0138,0.451,15,16.73,-,0.9,0.789,1,64,56.21,+,1.14,0.458,1
nuclear chromosome segregation (GO:0098813),79,21,25.4,-,0.83,0.485,1,8,25.58,-,0.31,0.000402,0.0306,7,14.06,-,0.5,0.0707,0.783,26,47.24,-,0.55,0.00824,1
regulation of nitrogen compound metabolic process (GO:0051171),1392,370,447.6,-,0.83,0.000536,0.109,502,450.74,+,1.11,0.029,0.75,153,247.7,-,0.62,3.34E-10,1.06E-07,811,832.42,-,0.97,0.545,1
cellular response to chemical stimulus (GO:0070887),651,173,209.33,-,0.83,0.022,0.684,298,210.8,+,1.41,6.18E-07,0.000207,99,115.84,-,0.85,0.143,1,429,389.3,+,1.1,0.113,1
positive regulation of biological process (GO:0048518),715,190,229.91,-,0.83,0.0168,0.624,267,231.52,+,1.15,0.0427,0.959,76,127.23,-,0.6,4.08E-06,0.000495,418,427.57,-,0.98,0.728,1
vesicle-mediated transport (GO:0016192),320,85,102.9,-,0.83,0.114,1,119,103.62,+,1.15,0.196,1,55,56.94,-,0.97,0.884,1,186,191.36,-,0.97,0.78,1
immune effector process (GO:0002252),49,13,15.76,-,0.83,0.657,1,21,15.87,+,1.32,0.268,1,4,8.72,-,0.46,0.175,1,30,29.3,+,1.02,0.908,1
red or far-red light signaling pathway (GO:0010017),34,9,10.93,-,0.82,0.723,1,11,11.01,-,1,1,1,7,6.05,+,1.16,0.664,1,20,20.33,-,0.98,1,1
cell cycle checkpoint (GO:0000075),34,9,10.93,-,0.82,0.723,1,8,11.01,-,0.73,0.477,1,1,6.05,-,0.17,0.0536,0.657,16,20.33,-,0.79,0.468,1
histone lysine methylation (GO:0034968),34,9,10.93,-,0.82,0.723,1,9,11.01,-,0.82,0.723,1,3,6.05,-,0.5,0.355,1,17,20.33,-,0.84,0.664,1
regulation of translation (GO:0006417),68,18,21.87,-,0.82,0.53,1,26,22.02,+,1.18,0.471,1,10,12.1,-,0.83,0.751,1,42,40.66,+,1.03,0.921,1
cellular response to gibberellin stimulus (GO:0071370),34,9,10.93,-,0.82,0.723,1,11,11.01,-,1,1,1,7,6.05,+,1.16,0.664,1,19,20.33,-,0.93,0.888,1
fatty acid oxidation (GO:0019395),34,9,10.93,-,0.82,0.723,1,19,11.01,+,1.73,0.0763,1,3,6.05,-,0.5,0.355,1,27,20.33,+,1.33,0.29,1
DNA-dependent DNA replication (GO:0006261),87,23,27.97,-,0.82,0.437,1,14,28.17,-,0.5,0.0106,0.372,9,15.48,-,0.58,0.151,1,34,52.03,-,0.65,0.0378,1
RNA methylation (GO:0001510),53,14,17.04,-,0.82,0.571,1,15,17.16,-,0.87,0.777,1,9,9.43,-,0.95,1,1,28,31.69,-,0.88,0.646,1
cellular catabolic process (GO:0044248),708,187,227.66,-,0.82,0.0131,0.571,305,229.26,+,1.33,2.38E-05,0.00367,119,125.99,-,0.94,0.583,1,458,423.39,+,1.08,0.18,1
negative regulation of cellular process (GO:0048523),481,127,154.66,-,0.82,0.0433,0.97,169,155.75,+,1.09,0.352,1,55,85.59,-,0.64,0.0011,0.0469,268,287.64,-,0.93,0.356,1
cell death (GO:0008219),72,19,23.15,-,0.82,0.54,1,37,23.31,+,1.59,0.0251,0.698,10,12.81,-,0.78,0.538,1,47,43.06,+,1.09,0.636,1
cellular response to extracellular stimulus (GO:0031668),129,34,41.48,-,0.82,0.359,1,55,41.77,+,1.32,0.101,1,26,22.95,+,1.13,0.572,1,83,77.14,+,1.08,0.618,1
regulation of sulfur metabolic process (GO:0042762),19,5,6.11,-,0.82,0.815,1,3,6.15,-,0.49,0.323,1,3,3.38,-,0.89,1,1,7,11.36,-,0.62,0.315,1
L-serine metabolic process (GO:0006563),19,5,6.11,-,0.82,0.815,1,4,6.15,-,0.65,0.627,1,8,3.38,+,2.37,0.0531,0.655,9,11.36,-,0.79,0.697,1
purine ribonucleoside monophosphate biosynthetic process (GO:0009168),19,5,6.11,-,0.82,0.815,1,7,6.15,+,1.14,0.819,1,1,3.38,-,0.3,0.346,1,11,11.36,-,0.97,1,1
purine nucleoside monophosphate biosynthetic process (GO:0009127),19,5,6.11,-,0.82,0.815,1,7,6.15,+,1.14,0.819,1,1,3.38,-,0.3,0.346,1,11,11.36,-,0.97,1,1
maintenance of protein location (GO:0045185),19,5,6.11,-,0.82,0.815,1,6,6.15,-,0.98,1,1,3,3.38,-,0.89,1,1,9,11.36,-,0.79,0.697,1
maintenance of protein location in cell (GO:0032507),19,5,6.11,-,0.82,0.815,1,6,6.15,-,0.98,1,1,3,3.38,-,0.89,1,1,9,11.36,-,0.79,0.697,1
regulation of gene silencing by RNA (GO:0060966),19,5,6.11,-,0.82,0.815,1,6,6.15,-,0.98,1,1,0,3.38,-, < 0.01,0.0996,0.907,9,11.36,-,0.79,0.697,1
cytokinin metabolic process (GO:0009690),19,5,6.11,-,0.82,0.815,1,5,6.15,-,0.81,0.815,1,3,3.38,-,0.89,1,1,10,11.36,-,0.88,0.849,1
positive regulation of transport (GO:0051050),19,5,6.11,-,0.82,0.815,1,4,6.15,-,0.65,0.627,1,3,3.38,-,0.89,1,1,8,11.36,-,0.7,0.435,1
regulation of macromolecule metabolic process (GO:0060255),1578,415,507.4,-,0.82,8.86E-05,0.0421,564,510.97,+,1.1,0.0337,0.832,164,280.8,-,0.58,1.43E-13,1.63E-10,912,943.65,-,0.97,0.389,1
hormone-mediated signaling pathway (GO:0009755),251,66,80.71,-,0.82,0.146,1,104,81.28,+,1.28,0.0339,0.832,30,44.66,-,0.67,0.0354,0.542,155,150.1,+,1.03,0.756,1
negative regulation of developmental process (GO:0051093),99,26,31.83,-,0.82,0.403,1,32,32.06,-,1,1,1,15,17.62,-,0.85,0.693,1,54,59.2,-,0.91,0.616,1
gametophyte development (GO:0048229),290,76,93.25,-,0.82,0.11,1,88,93.9,-,0.94,0.628,1,41,51.6,-,0.79,0.187,1,147,173.42,-,0.85,0.0995,1
RNA processing (GO:0006396),584,153,187.78,-,0.81,0.02,0.673,176,189.1,-,0.93,0.412,1,75,103.92,-,0.72,0.00539,0.147,310,349.24,-,0.89,0.0835,1
regulation of cell division (GO:0051302),42,11,13.51,-,0.81,0.632,1,17,13.6,+,1.25,0.448,1,3,7.47,-,0.4,0.143,1,25,25.12,-,1,1,1
cellular response to oxygen-containing compound (GO:1901701),321,84,103.22,-,0.81,0.0894,1,151,103.94,+,1.45,0.000173,0.0152,47,57.12,-,0.82,0.238,1,210,191.96,+,1.09,0.318,1
protein methylation (GO:0006479),65,17,20.9,-,0.81,0.52,1,19,21.05,-,0.9,0.799,1,9,11.57,-,0.78,0.625,1,35,38.87,-,0.9,0.679,1
protein alkylation (GO:0008213),65,17,20.9,-,0.81,0.52,1,19,21.05,-,0.9,0.799,1,9,11.57,-,0.78,0.625,1,35,38.87,-,0.9,0.679,1
proteolysis (GO:0006508),459,120,147.59,-,0.81,0.0432,0.975,184,148.63,+,1.24,0.0149,0.479,73,81.68,-,0.89,0.389,1,285,274.48,+,1.04,0.616,1
energy derivation by oxidation of organic compounds (GO:0015980),88,23,28.3,-,0.81,0.437,1,40,28.49,+,1.4,0.0792,1,18,15.66,+,1.15,0.586,1,57,52.62,+,1.08,0.667,1
macromolecule methylation (GO:0043414),134,35,43.09,-,0.81,0.321,1,38,43.39,-,0.88,0.533,1,18,23.84,-,0.75,0.305,1,69,80.13,-,0.86,0.343,1
regulation of multicellular organismal development (GO:2000026),230,60,73.96,-,0.81,0.167,1,75,74.48,+,1.01,0.946,1,25,40.93,-,0.61,0.0169,0.321,121,137.54,-,0.88,0.266,1
cellular amino acid catabolic process (GO:0009063),69,18,22.19,-,0.81,0.531,1,35,22.34,+,1.57,0.0386,0.914,15,12.28,+,1.22,0.447,1,48,41.26,+,1.16,0.444,1
clathrin-dependent endocytosis (GO:0072583),23,6,7.4,-,0.81,0.829,1,8,7.45,+,1.07,0.836,1,0,4.09,-, < 0.01,0.0388,0.564,12,13.75,-,0.87,0.861,1
response to nutrient levels (GO:0031667),138,36,44.37,-,0.81,0.287,1,58,44.69,+,1.3,0.0949,1,25,24.56,+,1.02,0.912,1,89,82.52,+,1.08,0.582,1
response to brassinosteroid (GO:0009741),46,12,14.79,-,0.81,0.646,1,19,14.9,+,1.28,0.386,1,7,8.19,-,0.86,0.848,1,27,27.51,-,0.98,1,1
rRNA processing (GO:0006364),188,49,60.45,-,0.81,0.196,1,54,60.88,-,0.89,0.498,1,29,33.45,-,0.87,0.566,1,95,112.43,-,0.85,0.194,1
cellular response to lipid (GO:0071396),150,39,48.23,-,0.81,0.268,1,69,48.57,+,1.42,0.0174,0.547,20,26.69,-,0.75,0.28,1,96,89.7,+,1.07,0.597,1
cellular response to hormone stimulus (GO:0032870),289,75,92.93,-,0.81,0.0957,1,124,93.58,+,1.33,0.00905,0.338,36,51.43,-,0.7,0.0415,0.575,180,172.82,+,1.04,0.664,1
