GO biological process complete,allexp_forGO.txt - REFLIST (12841),plastic_ref_forGO.txt (7679),plastic_ref_forGO.txt (expected),plastic_ref_forGO.txt (over/under),plastic_ref_forGO.txt (fold Enrichment),plastic_ref_forGO.txt (raw P-value),plastic_ref_forGO.txt (FDR),plastic8_ref_forGO.txt (4605),plastic8_ref_forGO.txt (expected),plastic8_ref_forGO.txt (over/under),plastic8_ref_forGO.txt (fold Enrichment),plastic8_ref_forGO.txt (raw P-value),plastic8_ref_forGO.txt (FDR),plastic32_ref_forGO.txt (7279),plastic32_ref_forGO.txt (expected),plastic32_ref_forGO.txt (over/under),plastic32_ref_forGO.txt (fold Enrichment),plastic32_ref_forGO.txt (raw P-value),plastic32_ref_forGO.txt (FDR),different_dir_832_genes_ref_forGO.txt (129),different_dir_832_genes_ref_forGO.txt (expected),different_dir_832_genes_ref_forGO.txt (over/under),different_dir_832_genes_ref_forGO.txt (fold Enrichment),different_dir_832_genes_ref_forGO.txt (raw P-value),different_dir_832_genes_ref_forGO.txt (FDR)
response to hydrogen peroxide (GO:0042542),42,26,25.12,+,1.04,0.901,1,13,15.06,-,0.86,0.76,1,26,23.81,+,1.09,0.707,1,0,0.42,-, < 0.01,1,1
cellular response to water stimulus (GO:0071462),21,13,12.56,+,1.04,1,1,10,7.53,+,1.33,0.423,1,13,11.9,+,1.09,0.859,1,0,0.21,-, < 0.01,1,1
regulation of stomatal closure (GO:0090333),21,13,12.56,+,1.04,1,1,11,7.53,+,1.46,0.317,1,15,11.9,+,1.26,0.492,1,0,0.21,-, < 0.01,1,1
regulation of proteasomal protein catabolic process (GO:0061136),21,13,12.56,+,1.04,1,1,5,7.53,-,0.66,0.508,1,13,11.9,+,1.09,0.859,1,0,0.21,-, < 0.01,1,1
protein insertion into membrane (GO:0051205),21,13,12.56,+,1.04,1,1,6,7.53,-,0.8,0.827,1,10,11.9,-,0.84,0.712,1,0,0.21,-, < 0.01,1,1
response to stress (GO:0006950),1867,1155,1116.48,+,1.03,0.329,1,751,669.54,+,1.12,0.00421,0.501,1125,1058.32,+,1.06,0.0797,1,28,18.76,+,1.49,0.032,1
cell wall organization or biogenesis (GO:0071554),249,154,148.9,+,1.03,0.755,1,80,89.3,-,0.9,0.412,1,147,141.15,+,1.04,0.712,1,4,2.5,+,1.6,0.322,1
regulation of small molecule metabolic process (GO:0062012),76,47,45.45,+,1.03,0.852,1,28,27.25,+,1.03,0.911,1,48,43.08,+,1.11,0.574,1,1,0.76,+,1.31,0.538,1
cellular protein metabolic process (GO:0044267),1987,1228,1188.24,+,1.03,0.331,1,722,712.57,+,1.01,0.74,1,1140,1126.34,+,1.01,0.731,1,10,19.96,-,0.5,0.0137,1
lipid metabolic process (GO:0006629),531,328,317.54,+,1.03,0.64,1,198,190.43,+,1.04,0.637,1,341,301,+,1.13,0.0663,1,7,5.33,+,1.31,0.5,1
cytoplasmic microtubule organization (GO:0031122),34,21,20.33,+,1.03,0.89,1,10,12.19,-,0.82,0.732,1,22,19.27,+,1.14,0.677,1,0,0.34,-, < 0.01,1,1
cellular transition metal ion homeostasis (GO:0046916),34,21,20.33,+,1.03,0.89,1,11,12.19,-,0.9,0.866,1,23,19.27,+,1.19,0.581,1,0,0.34,-, < 0.01,1,1
regulation of translation (GO:0006417),68,42,40.66,+,1.03,0.921,1,23,24.39,-,0.94,0.905,1,38,38.55,-,0.99,1,1,0,0.68,-, < 0.01,1,1
translational initiation (GO:0006413),34,21,20.33,+,1.03,0.89,1,9,12.19,-,0.74,0.491,1,18,19.27,-,0.93,0.886,1,0,0.34,-, < 0.01,1,1
regulation of meristem development (GO:0048509),34,21,20.33,+,1.03,0.89,1,9,12.19,-,0.74,0.491,1,18,19.27,-,0.93,0.886,1,0,0.34,-, < 0.01,1,1
hormone-mediated signaling pathway (GO:0009755),251,155,150.1,+,1.03,0.756,1,108,90.01,+,1.2,0.116,1,151,142.28,+,1.06,0.564,1,2,2.52,-,0.79,1,1
response to red or far red light (GO:0009639),128,79,76.54,+,1.03,0.829,1,46,45.9,+,1,1,1,76,72.56,+,1.05,0.77,1,0,1.29,-, < 0.01,0.641,1
regulation of cell death (GO:0010941),60,37,35.88,+,1.03,0.916,1,21,21.52,-,0.98,1,1,41,34.01,+,1.21,0.352,1,0,0.6,-, < 0.01,1,1
cellular macromolecule catabolic process (GO:0044265),406,250,242.79,+,1.03,0.712,1,125,145.6,-,0.86,0.134,1,237,230.14,+,1.03,0.739,1,5,4.08,+,1.23,0.608,1
peptidyl-amino acid modification (GO:0018193),242,149,144.72,+,1.03,0.792,1,88,86.79,+,1.01,0.9,1,133,137.18,-,0.97,0.787,1,0,2.43,-, < 0.01,0.181,1
olefin biosynthetic process (GO:1900674),13,8,7.77,+,1.03,1,1,7,4.66,+,1.5,0.445,1,7,7.37,-,0.95,1,1,0,0.13,-, < 0.01,1,1
olefin metabolic process (GO:1900673),13,8,7.77,+,1.03,1,1,7,4.66,+,1.5,0.445,1,7,7.37,-,0.95,1,1,0,0.13,-, < 0.01,1,1
snoRNA processing (GO:0043144),13,8,7.77,+,1.03,1,1,5,4.66,+,1.07,1,1,8,7.37,+,1.09,0.824,1,0,0.13,-, < 0.01,1,1
leucine metabolic process (GO:0006551),13,8,7.77,+,1.03,1,1,4,4.66,-,0.86,1,1,10,7.37,+,1.36,0.517,1,1,0.13,+,7.66,0.131,1
cytoplasmic translational initiation (GO:0002183),13,8,7.77,+,1.03,1,1,3,4.66,-,0.64,0.584,1,7,7.37,-,0.95,1,1,0,0.13,-, < 0.01,1,1
methionine biosynthetic process (GO:0009086),13,8,7.77,+,1.03,1,1,5,4.66,+,1.07,1,1,10,7.37,+,1.36,0.517,1,0,0.13,-, < 0.01,1,1
meristem growth (GO:0035266),13,8,7.77,+,1.03,1,1,3,4.66,-,0.64,0.584,1,7,7.37,-,0.95,1,1,0,0.13,-, < 0.01,1,1
cellular hormone metabolic process (GO:0034754),26,16,15.55,+,1.03,1,1,13,9.32,+,1.39,0.363,1,15,14.74,+,1.02,1,1,0,0.26,-, < 0.01,1,1
snoRNA metabolic process (GO:0016074),13,8,7.77,+,1.03,1,1,5,4.66,+,1.07,1,1,8,7.37,+,1.09,0.824,1,0,0.13,-, < 0.01,1,1
stomatal closure (GO:0090332),13,8,7.77,+,1.03,1,1,7,4.66,+,1.5,0.445,1,10,7.37,+,1.36,0.517,1,1,0.13,+,7.66,0.131,1
cellular response to UV (GO:0034644),13,8,7.77,+,1.03,1,1,7,4.66,+,1.5,0.445,1,5,7.37,-,0.68,0.625,1,0,0.13,-, < 0.01,1,1
sulfur compound catabolic process (GO:0044273),13,8,7.77,+,1.03,1,1,4,4.66,-,0.86,1,1,8,7.37,+,1.09,0.824,1,0,0.13,-, < 0.01,1,1
cortical microtubule organization (GO:0043622),26,16,15.55,+,1.03,1,1,7,9.32,-,0.75,0.692,1,19,14.74,+,1.29,0.438,1,0,0.26,-, < 0.01,1,1
ethylene biosynthetic process (GO:0009693),13,8,7.77,+,1.03,1,1,7,4.66,+,1.5,0.445,1,7,7.37,-,0.95,1,1,0,0.13,-, < 0.01,1,1
ethylene metabolic process (GO:0009692),13,8,7.77,+,1.03,1,1,7,4.66,+,1.5,0.445,1,7,7.37,-,0.95,1,1,0,0.13,-, < 0.01,1,1
alkene biosynthetic process (GO:0043450),13,8,7.77,+,1.03,1,1,7,4.66,+,1.5,0.445,1,7,7.37,-,0.95,1,1,0,0.13,-, < 0.01,1,1
cellular alkene metabolic process (GO:0043449),13,8,7.77,+,1.03,1,1,7,4.66,+,1.5,0.445,1,7,7.37,-,0.95,1,1,0,0.13,-, < 0.01,1,1
cell morphogenesis (GO:0000902),221,136,132.16,+,1.03,0.783,1,72,79.25,-,0.91,0.504,1,133,125.28,+,1.06,0.577,1,4,2.22,+,1.8,0.289,1
cellular chemical homeostasis (GO:0055082),122,75,72.96,+,1.03,0.882,1,46,43.75,+,1.05,0.792,1,77,69.16,+,1.11,0.459,1,0,1.23,-, < 0.01,0.637,1
protein metabolic process (GO:0019538),2089,1283,1249.24,+,1.03,0.414,1,758,749.15,+,1.01,0.763,1,1202,1184.16,+,1.02,0.663,1,14,20.99,-,0.67,0.117,1
gynoecium development (GO:0048467),57,35,34.09,+,1.03,0.914,1,24,20.44,+,1.17,0.528,1,30,32.31,-,0.93,0.823,1,0,0.57,-, < 0.01,1,1
intracellular signal transduction (GO:0035556),202,124,120.8,+,1.03,0.818,1,76,72.44,+,1.05,0.732,1,119,114.5,+,1.04,0.77,1,2,2.03,-,0.99,1,1
biosynthetic process (GO:0009058),1768,1085,1057.28,+,1.03,0.478,1,640,634.03,+,1.01,0.823,1,1002,1002.2,-,1,1,1,16,17.76,-,0.9,0.797,1
cellular response to environmental stimulus (GO:0104004),132,81,78.94,+,1.03,0.887,1,54,47.34,+,1.14,0.404,1,79,74.83,+,1.06,0.719,1,2,1.33,+,1.51,0.386,1
cellular response to abiotic stimulus (GO:0071214),132,81,78.94,+,1.03,0.887,1,54,47.34,+,1.14,0.404,1,79,74.83,+,1.06,0.719,1,2,1.33,+,1.51,0.386,1
stomatal movement (GO:0010118),44,27,26.31,+,1.03,0.903,1,21,15.78,+,1.33,0.323,1,28,24.94,+,1.12,0.625,1,1,0.44,+,2.26,0.363,1
nucleoside phosphate biosynthetic process (GO:1901293),119,73,71.16,+,1.03,0.881,1,51,42.68,+,1.2,0.294,1,65,67.46,-,0.96,0.878,1,1,1.2,-,0.84,1,1
amine metabolic process (GO:0009308),62,38,37.08,+,1.02,0.918,1,28,22.23,+,1.26,0.337,1,36,35.15,+,1.02,0.916,1,0,0.62,-, < 0.01,1,1
export from cell (GO:0140352),62,38,37.08,+,1.02,0.918,1,23,22.23,+,1.03,0.902,1,33,35.15,-,0.94,0.831,1,1,0.62,+,1.61,0.468,1
aspartate family amino acid biosynthetic process (GO:0009067),31,19,18.54,+,1.02,1,1,13,11.12,+,1.17,0.61,1,22,17.57,+,1.25,0.474,1,0,0.31,-, < 0.01,1,1
anatomical structure formation involved in morphogenesis (GO:0048646),124,76,74.15,+,1.02,0.883,1,35,44.47,-,0.79,0.24,1,75,70.29,+,1.07,0.657,1,1,1.25,-,0.8,1,1
response to blue light (GO:0009637),62,38,37.08,+,1.02,0.918,1,17,22.23,-,0.76,0.372,1,36,35.15,+,1.02,0.916,1,0,0.62,-, < 0.01,1,1
immune effector process (GO:0002252),49,30,29.3,+,1.02,0.908,1,18,17.57,+,1.02,0.89,1,25,27.78,-,0.9,0.717,1,0,0.49,-, < 0.01,1,1
organelle localization (GO:0051640),98,60,58.6,+,1.02,0.934,1,38,35.14,+,1.08,0.696,1,52,55.55,-,0.94,0.734,1,0,0.98,-, < 0.01,1,1
phyllome development (GO:0048827),319,195,190.76,+,1.02,0.818,1,123,114.4,+,1.08,0.478,1,179,180.83,-,0.99,0.925,1,4,3.2,+,1.25,0.566,1
cortical cytoskeleton organization (GO:0030865),36,22,21.53,+,1.02,1,1,8,12.91,-,0.62,0.303,1,25,20.41,+,1.23,0.427,1,0,0.36,-, < 0.01,1,1
autophagosome assembly (GO:0000045),18,11,10.76,+,1.02,1,1,4,6.46,-,0.62,0.475,1,11,10.2,+,1.08,0.848,1,0,0.18,-, < 0.01,1,1
endosperm development (GO:0009960),18,11,10.76,+,1.02,1,1,6,6.46,-,0.93,1,1,11,10.2,+,1.08,0.848,1,1,0.18,+,5.53,0.173,1
negative regulation of innate immune response (GO:0045824),18,11,10.76,+,1.02,1,1,6,6.46,-,0.93,1,1,11,10.2,+,1.08,0.848,1,0,0.18,-, < 0.01,1,1
mitochondrial mRNA modification (GO:0080156),18,11,10.76,+,1.02,1,1,4,6.46,-,0.62,0.475,1,12,10.2,+,1.18,0.705,1,0,0.18,-, < 0.01,1,1
inflorescence development (GO:0010229),18,11,10.76,+,1.02,1,1,6,6.46,-,0.93,1,1,10,10.2,-,0.98,1,1,0,0.18,-, < 0.01,1,1
cell wall biogenesis (GO:0042546),131,80,78.34,+,1.02,0.886,1,38,46.98,-,0.81,0.292,1,78,74.26,+,1.05,0.718,1,1,1.32,-,0.76,1,1
organic substance biosynthetic process (GO:1901576),1707,1042,1020.8,+,1.02,0.582,1,617,612.16,+,1.01,0.86,1,962,967.62,-,0.99,0.897,1,14,17.15,-,0.82,0.514,1
regulation of anatomical structure morphogenesis (GO:0022603),82,50,49.04,+,1.02,0.928,1,25,29.41,-,0.85,0.511,1,47,46.48,+,1.01,1,1,0,0.82,-, < 0.01,1,1
cellular response to nitrogen compound (GO:1901699),41,25,24.52,+,1.02,1,1,16,14.7,+,1.09,0.764,1,21,23.24,-,0.9,0.792,1,0,0.41,-, < 0.01,1,1
cellular response to stimulus (GO:0051716),1437,876,859.34,+,1.02,0.632,1,562,515.33,+,1.09,0.0667,1,844,814.57,+,1.04,0.392,1,17,14.44,+,1.18,0.482,1
cation homeostasis (GO:0055080),151,92,90.3,+,1.02,0.894,1,61,54.15,+,1.13,0.433,1,94,85.6,+,1.1,0.504,1,0,1.52,-, < 0.01,0.409,1
localization (GO:0051179),1452,884,868.31,+,1.02,0.666,1,532,520.71,+,1.02,0.665,1,837,823.08,+,1.02,0.695,1,16,14.59,+,1.1,0.675,1
regulation of actin filament polymerization (GO:0030833),23,14,13.75,+,1.02,1,1,5,8.25,-,0.61,0.393,1,15,13.04,+,1.15,0.736,1,0,0.23,-, < 0.01,1,1
xylan biosynthetic process (GO:0045492),23,14,13.75,+,1.02,1,1,5,8.25,-,0.61,0.393,1,10,13.04,-,0.77,0.588,1,0,0.23,-, < 0.01,1,1
regulation of polysaccharide metabolic process (GO:0032881),23,14,13.75,+,1.02,1,1,5,8.25,-,0.61,0.393,1,14,13.04,+,1.07,0.865,1,0,0.23,-, < 0.01,1,1
positive regulation of growth (GO:0045927),23,14,13.75,+,1.02,1,1,8,8.25,-,0.97,1,1,14,13.04,+,1.07,0.865,1,0,0.23,-, < 0.01,1,1
ion homeostasis (GO:0050801),184,112,110.03,+,1.02,0.904,1,77,65.99,+,1.17,0.258,1,117,104.3,+,1.12,0.334,1,2,1.85,+,1.08,0.709,1
NADH dehydrogenase complex assembly (GO:0010257),23,14,13.75,+,1.02,1,1,8,8.25,-,0.97,1,1,12,13.04,-,0.92,0.862,1,0,0.23,-, < 0.01,1,1
response to nematode (GO:0009624),51,31,30.5,+,1.02,1,1,18,18.29,-,0.98,1,1,27,28.91,-,0.93,0.814,1,0,0.51,-, < 0.01,1,1
positive regulation of protein metabolic process (GO:0051247),84,51,50.23,+,1.02,0.929,1,27,30.12,-,0.9,0.667,1,46,47.62,-,0.97,0.927,1,0,0.84,-, < 0.01,1,1
"mRNA cis splicing, via spliceosome (GO:0045292)",28,17,16.74,+,1.02,1,1,6,10.04,-,0.6,0.33,1,17,15.87,+,1.07,0.877,1,0,0.28,-, < 0.01,1,1
secretion (GO:0046903),56,34,33.49,+,1.02,1,1,21,20.08,+,1.05,0.897,1,29,31.74,-,0.91,0.735,1,1,0.56,+,1.78,0.435,1
inorganic anion transport (GO:0015698),56,34,33.49,+,1.02,1,1,24,20.08,+,1.2,0.448,1,32,31.74,+,1.01,1,1,0,0.56,-, < 0.01,1,1
regulation of cell morphogenesis (GO:0022604),56,34,33.49,+,1.02,1,1,17,20.08,-,0.85,0.597,1,31,31.74,-,0.98,1,1,0,0.56,-, < 0.01,1,1
cell growth (GO:0016049),229,139,136.94,+,1.02,0.913,1,74,82.12,-,0.9,0.47,1,137,129.81,+,1.06,0.621,1,4,2.3,+,1.74,0.298,1
hormone metabolic process (GO:0042445),61,37,36.48,+,1.01,1,1,27,21.88,+,1.23,0.396,1,37,34.58,+,1.07,0.753,1,1,0.61,+,1.63,0.463,1
system development (GO:0048731),1176,713,703.26,+,1.01,0.765,1,414,421.73,-,0.98,0.743,1,670,666.62,+,1.01,0.919,1,10,11.81,-,0.85,0.758,1
mRNA modification (GO:0016556),33,20,19.73,+,1.01,1,1,10,11.83,-,0.84,0.731,1,17,18.71,-,0.91,0.883,1,0,0.33,-, < 0.01,1,1
lipid homeostasis (GO:0055088),33,20,19.73,+,1.01,1,1,12,11.83,+,1.01,1,1,21,18.71,+,1.12,0.673,1,0,0.33,-, < 0.01,1,1
plant epidermis development (GO:0090558),165,100,98.67,+,1.01,0.949,1,48,59.17,-,0.81,0.211,1,96,93.53,+,1.03,0.846,1,2,1.66,+,1.21,0.683,1
symbiotic process (GO:0044403),33,20,19.73,+,1.01,1,1,11,11.83,-,0.93,1,1,20,18.71,+,1.07,0.886,1,0,0.33,-, < 0.01,1,1
plant-type secondary cell wall biogenesis (GO:0009834),33,20,19.73,+,1.01,1,1,8,11.83,-,0.68,0.378,1,20,18.71,+,1.07,0.886,1,0,0.33,-, < 0.01,1,1
recognition of pollen (GO:0048544),33,20,19.73,+,1.01,1,1,16,11.83,+,1.35,0.331,1,19,18.71,+,1.02,1,1,0,0.33,-, < 0.01,1,1
jasmonic acid metabolic process (GO:0009694),33,20,19.73,+,1.01,1,1,14,11.83,+,1.18,0.62,1,22,18.71,+,1.18,0.575,1,1,0.33,+,3.02,0.288,1
macromolecule modification (GO:0043412),1733,1050,1036.35,+,1.01,0.72,1,607,621.48,-,0.98,0.597,1,972,982.36,-,0.99,0.78,1,7,17.41,-,0.4,0.00586,1
developmental growth (GO:0048589),228,138,136.35,+,1.01,0.913,1,75,81.76,-,0.92,0.554,1,134,129.24,+,1.04,0.741,1,3,2.29,+,1.31,0.502,1
regulation of lipid biosynthetic process (GO:0046890),38,23,22.72,+,1.01,1,1,10,13.63,-,0.73,0.512,1,22,21.54,+,1.02,1,1,0,0.38,-, < 0.01,1,1
regulation of unidimensional cell growth (GO:0051510),38,23,22.72,+,1.01,1,1,12,13.63,-,0.88,0.872,1,21,21.54,-,0.97,1,1,0,0.38,-, < 0.01,1,1
seed development (GO:0048316),493,298,294.82,+,1.01,0.881,1,180,176.8,+,1.02,0.824,1,277,279.46,-,0.99,0.939,1,4,4.95,-,0.81,1,1
establishment of localization (GO:0051234),1362,823,814.48,+,1.01,0.815,1,498,488.44,+,1.02,0.697,1,784,772.06,+,1.02,0.722,1,16,13.68,+,1.17,0.474,1
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161),144,87,86.11,+,1.01,0.946,1,40,51.64,-,0.77,0.178,1,86,81.63,+,1.05,0.73,1,2,1.45,+,1.38,0.658,1
plant organ development (GO:0099402),624,377,373.16,+,1.01,0.867,1,215,223.78,-,0.96,0.63,1,350,353.72,-,0.99,0.891,1,6,6.27,-,0.96,1,1
transport (GO:0006810),1336,807,798.94,+,1.01,0.814,1,491,479.11,+,1.02,0.633,1,769,757.32,+,1.02,0.719,1,16,13.42,+,1.19,0.467,1
fruit development (GO:0010154),510,308,304.98,+,1.01,0.883,1,186,182.89,+,1.02,0.861,1,285,289.1,-,0.99,0.88,1,4,5.12,-,0.78,0.82,1
cellular modified amino acid metabolic process (GO:0006575),53,32,31.69,+,1.01,1,1,22,19.01,+,1.16,0.599,1,35,30.04,+,1.16,0.505,1,3,0.53,+,5.63,0.0182,1
alpha-amino acid biosynthetic process (GO:1901607),116,70,69.37,+,1.01,0.94,1,49,41.6,+,1.18,0.33,1,69,65.76,+,1.05,0.759,1,2,1.17,+,1.72,0.328,1
cellular process (GO:0009987),7148,4312,4274.55,+,1.01,0.504,1,2627,2563.39,+,1.02,0.108,1,4118,4051.89,+,1.02,0.214,1,73,71.81,+,1.02,0.859,1
cellular nitrogen compound biosynthetic process (GO:0044271),776,468,464.05,+,1.01,0.88,1,291,278.29,+,1.05,0.496,1,414,439.88,-,0.94,0.32,1,5,7.8,-,0.64,0.453,1
organic acid transport (GO:0015849),73,44,43.65,+,1.01,1,1,35,26.18,+,1.34,0.156,1,41,41.38,-,0.99,1,1,0,0.73,-, < 0.01,1,1
cellular lipid metabolic process (GO:0044255),460,277,275.08,+,1.01,0.938,1,167,164.96,+,1.01,0.89,1,295,260.75,+,1.13,0.0969,1,5,4.62,+,1.08,0.81,1
metabolic process (GO:0008152),5256,3165,3143.12,+,1.01,0.692,1,1931,1884.89,+,1.02,0.242,1,3046,2979.4,+,1.02,0.205,1,52,52.8,-,0.98,0.928,1
regulation of cellular process (GO:0050794),2488,1498,1487.84,+,1.01,0.827,1,887,892.24,-,0.99,0.879,1,1420,1410.34,+,1.01,0.824,1,23,24.99,-,0.92,0.737,1
cellular biosynthetic process (GO:0044249),1636,984,978.34,+,1.01,0.88,1,585,586.7,-,1,0.959,1,909,927.38,-,0.98,0.612,1,15,16.44,-,0.91,0.792,1
protein folding (GO:0006457),138,83,82.52,+,1.01,1,1,54,49.49,+,1.09,0.566,1,73,78.23,-,0.93,0.666,1,3,1.39,+,2.16,0.166,1
proteasomal protein catabolic process (GO:0010498),153,92,91.49,+,1.01,1,1,47,54.87,-,0.86,0.376,1,92,86.73,+,1.06,0.688,1,3,1.54,+,1.95,0.203,1
inorganic ion homeostasis (GO:0098771),163,98,97.48,+,1.01,1,1,65,58.45,+,1.11,0.451,1,102,92.4,+,1.1,0.44,1,1,1.64,-,0.61,1,1
cytoskeleton organization (GO:0007010),173,104,103.46,+,1.01,1,1,53,62.04,-,0.85,0.362,1,109,98.07,+,1.11,0.383,1,1,1.74,-,0.58,1,1
plant organ morphogenesis (GO:1905392),258,155,154.29,+,1,0.959,1,77,92.52,-,0.83,0.168,1,144,146.25,-,0.98,0.917,1,2,2.59,-,0.77,1,1
regulation of biological process (GO:0050789),2867,1721,1714.48,+,1,0.89,1,1016,1028.15,-,0.99,0.726,1,1639,1625.18,+,1.01,0.765,1,27,28.8,-,0.94,0.751,1
CTP metabolic process (GO:0046036),10,6,5.98,+,1,1,1,4,3.59,+,1.12,0.77,1,5,5.67,-,0.88,1,1,0,0.1,-, < 0.01,1,1
response to anoxia (GO:0034059),5,3,2.99,+,1,1,1,3,1.79,+,1.67,0.443,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
cellular zinc ion homeostasis (GO:0006882),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,4,2.83,+,1.41,0.731,1,0,0.05,-, < 0.01,1,1
chloroplast RNA modification (GO:1900865),20,12,11.96,+,1,1,1,8,7.17,+,1.12,0.83,1,12,11.34,+,1.06,0.856,1,0,0.2,-, < 0.01,1,1
suspensor development (GO:0010098),5,3,2.99,+,1,1,1,3,1.79,+,1.67,0.443,1,2,2.83,-,0.71,1,1,0,0.05,-, < 0.01,1,1
phosphate ion transport (GO:0006817),15,9,8.97,+,1,1,1,6,5.38,+,1.12,0.806,1,9,8.5,+,1.06,1,1,0,0.15,-, < 0.01,1,1
response to boron-containing substance (GO:0010036),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,2,2.83,-,0.71,1,1,0,0.05,-, < 0.01,1,1
proton-transporting V-type ATPase complex assembly (GO:0070070),5,3,2.99,+,1,1,1,1,1.79,-,0.56,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
protein import into peroxisome matrix (GO:0016558),10,6,5.98,+,1,1,1,2,3.59,-,0.56,0.743,1,10,5.67,+,1.76,0.244,1,0,0.1,-, < 0.01,1,1
glutathione catabolic process (GO:0006751),5,3,2.99,+,1,1,1,1,1.79,-,0.56,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
activation of MAPK activity (GO:0000187),5,3,2.99,+,1,1,1,3,1.79,+,1.67,0.443,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
ceramide transport (GO:0035627),5,3,2.99,+,1,1,1,0,1.79,-, < 0.01,0.335,1,2,2.83,-,0.71,1,1,0,0.05,-, < 0.01,1,1
positive regulation of transcription elongation from RNA polymerase II promoter (GO:0032968),15,9,8.97,+,1,1,1,6,5.38,+,1.12,0.806,1,6,8.5,-,0.71,0.65,1,0,0.15,-, < 0.01,1,1
male meiosis cytokinesis (GO:0007112),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,5,2.83,+,1.76,0.512,1,0,0.05,-, < 0.01,1,1
microtubule cytoskeleton organization involved in mitosis (GO:1902850),15,9,8.97,+,1,1,1,4,5.38,-,0.74,0.796,1,10,8.5,+,1.18,0.682,1,0,0.15,-, < 0.01,1,1
sulfur amino acid catabolic process (GO:0000098),5,3,2.99,+,1,1,1,1,1.79,-,0.56,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
regulation of cell cycle G1/S phase transition (GO:1902806),5,3,2.99,+,1,1,1,0,1.79,-, < 0.01,0.335,1,2,2.83,-,0.71,1,1,0,0.05,-, < 0.01,1,1
SRP-dependent cotranslational protein targeting to membrane (GO:0006614),15,9,8.97,+,1,1,1,6,5.38,+,1.12,0.806,1,8,8.5,-,0.94,1,1,1,0.15,+,6.64,0.148,1
cotranslational protein targeting to membrane (GO:0006613),15,9,8.97,+,1,1,1,6,5.38,+,1.12,0.806,1,8,8.5,-,0.94,1,1,1,0.15,+,6.64,0.148,1
amino acid salvage (GO:0043102),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
regulation of polysaccharide biosynthetic process (GO:0032885),15,9,8.97,+,1,1,1,2,5.38,-,0.37,0.269,1,10,8.5,+,1.18,0.682,1,0,0.15,-, < 0.01,1,1
regulation of cell fate specification (GO:0042659),5,3,2.99,+,1,1,1,3,1.79,+,1.67,0.443,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
pyrimidine ribonucleoside triphosphate biosynthetic process (GO:0009209),10,6,5.98,+,1,1,1,4,3.59,+,1.12,0.77,1,5,5.67,-,0.88,1,1,0,0.1,-, < 0.01,1,1
pyrimidine ribonucleoside triphosphate metabolic process (GO:0009208),10,6,5.98,+,1,1,1,4,3.59,+,1.12,0.77,1,5,5.67,-,0.88,1,1,0,0.1,-, < 0.01,1,1
polyamine catabolic process (GO:0006598),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,4,2.83,+,1.41,0.731,1,0,0.05,-, < 0.01,1,1
spermine biosynthetic process (GO:0006597),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,4,2.83,+,1.41,0.731,1,0,0.05,-, < 0.01,1,1
lysine metabolic process (GO:0006553),15,9,8.97,+,1,1,1,7,5.38,+,1.3,0.628,1,10,8.5,+,1.18,0.682,1,0,0.15,-, < 0.01,1,1
malonyl-CoA metabolic process (GO:2001293),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,0,2.83,-, < 0.01,0.167,1,0,0.05,-, < 0.01,1,1
cell-cell junction organization (GO:0045216),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,4,2.83,+,1.41,0.731,1,0,0.05,-, < 0.01,1,1
purine nucleotide transport (GO:0015865),10,6,5.98,+,1,1,1,5,3.59,+,1.39,0.561,1,6,5.67,+,1.06,1,1,0,0.1,-, < 0.01,1,1
lysosomal microautophagy (GO:0016237),5,3,2.99,+,1,1,1,3,1.79,+,1.67,0.443,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
regulation of translational fidelity (GO:0006450),5,3,2.99,+,1,1,1,1,1.79,-,0.56,1,1,4,2.83,+,1.41,0.731,1,0,0.05,-, < 0.01,1,1
response to nitrate starvation (GO:0090548),5,3,2.99,+,1,1,1,2,1.79,+,1.12,1,1,3,2.83,+,1.06,1,1,0,0.05,-, < 0.01,1,1
translational termination (GO:0006415),10,6,5.98,+,1,1,1,4,3.59,+,1.12,0.77,1,6,5.67,+,1.06,1,1,0,0.1,-, < 0.01,1,1
regulation of intracellular protein transport (GO:0033157),10,6,5.98,+,1,1,1,4,3.59,+,1.12,0.77,1,5,5.67,-,0.88,1,1,0,0.1,-, < 0.01,1,1
