GO biological process complete,allexp_forGO.txt - REFLIST (12841),plastic_ref_forGO.txt (7679),plastic_ref_forGO.txt (expected),plastic_ref_forGO.txt (over/under),plastic_ref_forGO.txt (fold Enrichment),plastic_ref_forGO.txt (raw P-value),plastic_ref_forGO.txt (FDR),plastic32up.txt (4014),plastic32up.txt (expected),plastic32up.txt (over/under),plastic32up.txt (fold Enrichment),plastic32up.txt (raw P-value),plastic32up.txt (FDR),plastic8up.txt (2465),plastic8up.txt (expected),plastic8up.txt (over/under),plastic8up.txt (fold Enrichment),plastic8up.txt (raw P-value),plastic8up.txt (FDR),plastic32down.txt (3826),plastic32down.txt (expected),plastic32down.txt (over/under),plastic32down.txt (fold Enrichment),plastic32down.txt (raw P-value),plastic32down.txt (FDR)
regulation of metabolic process (GO:0019222),1762,1028,1053.69,-,0.98,0.514,1,533,550.79,-,0.97,0.493,1,408,338.24,+,1.21,0.000287,0.016,513,524.99,-,0.98,0.629,1
proton-transporting two-sector ATPase complex assembly (GO:0070071),12,7,7.18,-,0.98,1,1,3,3.75,-,0.8,1,1,1,2.3,-,0.43,0.707,1,4,3.58,+,1.12,0.772,1
cell-cell signaling (GO:0007267),12,7,7.18,-,0.98,1,1,5,3.75,+,1.33,0.573,1,1,2.3,-,0.43,0.707,1,2,3.58,-,0.56,0.75,1
phosphorelay signal transduction system (GO:0000160),48,28,28.7,-,0.98,1,1,17,15,+,1.13,0.662,1,18,9.21,+,1.95,0.0183,0.438,10,14.3,-,0.7,0.35,1
sulfate assimilation (GO:0000103),12,7,7.18,-,0.98,1,1,8,3.75,+,2.13,0.112,1,2,2.3,-,0.87,1,1,5,3.58,+,1.4,0.564,1
regulation of protein localization (GO:0032880),24,14,14.35,-,0.98,1,1,11,7.5,+,1.47,0.32,1,4,4.61,-,0.87,1,1,3,7.15,-,0.42,0.173,1
phosphate ion homeostasis (GO:0055062),12,7,7.18,-,0.98,1,1,6,3.75,+,1.6,0.404,1,2,2.3,-,0.87,1,1,3,3.58,-,0.84,1,1
pyrimidine nucleoside triphosphate metabolic process (GO:0009147),12,7,7.18,-,0.98,1,1,3,3.75,-,0.8,1,1,2,2.3,-,0.87,1,1,4,3.58,+,1.12,0.772,1
"regulation of DNA-templated transcription, elongation (GO:0032784)",24,14,14.35,-,0.98,1,1,7,7.5,-,0.93,1,1,6,4.61,+,1.3,0.616,1,4,7.15,-,0.56,0.37,1
protein demethylation (GO:0006482),12,7,7.18,-,0.98,1,1,4,3.75,+,1.07,1,1,4,2.3,+,1.74,0.31,1,5,3.58,+,1.4,0.564,1
embryonic meristem initiation (GO:0090421),12,7,7.18,-,0.98,1,1,5,3.75,+,1.33,0.573,1,6,2.3,+,2.6,0.0565,0.882,2,3.58,-,0.56,0.75,1
inorganic ion import across plasma membrane (GO:0099587),12,7,7.18,-,0.98,1,1,3,3.75,-,0.8,1,1,2,2.3,-,0.87,1,1,4,3.58,+,1.12,0.772,1
L-ascorbic acid metabolic process (GO:0019852),12,7,7.18,-,0.98,1,1,2,3.75,-,0.53,0.541,1,1,2.3,-,0.43,0.707,1,5,3.58,+,1.4,0.564,1
protein dealkylation (GO:0008214),12,7,7.18,-,0.98,1,1,4,3.75,+,1.07,1,1,4,2.3,+,1.74,0.31,1,5,3.58,+,1.4,0.564,1
regulation of autophagy (GO:0010506),12,7,7.18,-,0.98,1,1,7,3.75,+,1.87,0.183,1,3,2.3,+,1.3,0.722,1,3,3.58,-,0.84,1,1
trivalent inorganic anion homeostasis (GO:0072506),12,7,7.18,-,0.98,1,1,6,3.75,+,1.6,0.404,1,2,2.3,-,0.87,1,1,3,3.58,-,0.84,1,1
regulation of systemic acquired resistance (GO:0010112),12,7,7.18,-,0.98,1,1,4,3.75,+,1.07,1,1,3,2.3,+,1.3,0.722,1,1,3.58,-,0.28,0.322,1
peptide transport (GO:0015833),417,243,249.37,-,0.97,0.775,1,139,130.35,+,1.07,0.51,1,64,80.05,-,0.8,0.101,1,101,124.25,-,0.81,0.063,1
regulation of nitrogen compound metabolic process (GO:0051171),1392,811,832.42,-,0.97,0.545,1,422,435.13,-,0.97,0.579,1,338,267.21,+,1.26,5.52E-05,0.00371,387,414.75,-,0.93,0.21,1
regulation of biosynthetic process (GO:0009889),1253,730,749.3,-,0.97,0.574,1,373,391.68,-,0.95,0.391,1,309,240.53,+,1.28,4.64E-05,0.00323,357,373.33,-,0.96,0.454,1
protein transport (GO:0015031),400,233,239.2,-,0.97,0.77,1,133,125.04,+,1.06,0.535,1,61,76.79,-,0.79,0.0942,1,93,119.18,-,0.78,0.0295,1
amide transport (GO:0042886),431,251,257.74,-,0.97,0.748,1,142,134.73,+,1.05,0.583,1,65,82.74,-,0.79,0.0714,1,105,128.42,-,0.82,0.0603,1
regulation of RNA biosynthetic process (GO:2001141),1051,612,628.5,-,0.97,0.597,1,314,328.53,-,0.96,0.486,1,275,201.75,+,1.36,3.16E-06,0.000347,297,313.15,-,0.95,0.418,1
cell development (GO:0048468),189,110,113.02,-,0.97,0.857,1,50,59.08,-,0.85,0.32,1,25,36.28,-,0.69,0.091,1,59,56.31,+,1.05,0.761,1
"regulation of transcription, DNA-templated (GO:0006355)",1049,610,627.31,-,0.97,0.578,1,314,327.91,-,0.96,0.507,1,275,201.37,+,1.37,3.09E-06,0.000353,295,312.55,-,0.94,0.379,1
regulation of nucleic acid-templated transcription (GO:1903506),1049,610,627.31,-,0.97,0.578,1,314,327.91,-,0.96,0.507,1,275,201.37,+,1.37,3.09E-06,0.000346,295,312.55,-,0.94,0.379,1
regulation of cellular biosynthetic process (GO:0031326),1228,714,734.35,-,0.97,0.538,1,366,383.86,-,0.95,0.422,1,304,235.73,+,1.29,4.01E-05,0.0029,345,365.88,-,0.94,0.329,1
regulation of protein-containing complex assembly (GO:0043254),43,25,25.71,-,0.97,1,1,12,13.44,-,0.89,0.874,1,6,8.25,-,0.73,0.562,1,15,12.81,+,1.17,0.639,1
monovalent inorganic cation homeostasis (GO:0055067),43,25,25.71,-,0.97,1,1,13,13.44,-,0.97,1,1,8,8.25,-,0.97,1,1,14,12.81,+,1.09,0.753,1
cellular response to auxin stimulus (GO:0071365),43,25,25.71,-,0.97,1,1,15,13.44,+,1.12,0.757,1,7,8.25,-,0.85,0.848,1,12,12.81,-,0.94,1,1
establishment of protein localization (GO:0045184),406,236,242.79,-,0.97,0.74,1,134,126.91,+,1.06,0.572,1,62,77.94,-,0.8,0.0965,1,95,120.97,-,0.79,0.0309,1
vesicle-mediated transport (GO:0016192),320,186,191.36,-,0.97,0.78,1,118,100.03,+,1.18,0.125,1,54,61.43,-,0.88,0.433,1,55,95.34,-,0.58,6.61E-05,0.0472
cellular localization (GO:0051641),616,358,368.37,-,0.97,0.684,1,198,192.56,+,1.03,0.736,1,93,118.25,-,0.79,0.0279,0.564,148,183.54,-,0.81,0.0154,0.759
cellular response to stress (GO:0033554),756,439,452.09,-,0.97,0.622,1,279,236.32,+,1.18,0.0159,0.438,183,145.12,+,1.26,0.00446,0.154,174,225.25,-,0.77,0.00132,0.228
regulation of localization (GO:0032879),93,54,55.61,-,0.97,0.932,1,31,29.07,+,1.07,0.751,1,18,17.85,+,1.01,1,1,23,27.71,-,0.83,0.506,1
potassium ion transport (GO:0006813),31,18,18.54,-,0.97,1,1,8,9.69,-,0.83,0.71,1,6,5.95,+,1.01,1,1,11,9.24,+,1.19,0.585,1
transition metal ion homeostasis (GO:0055076),62,36,37.08,-,0.97,0.917,1,23,19.38,+,1.19,0.523,1,6,11.9,-,0.5,0.134,1,22,18.47,+,1.19,0.515,1
plant epidermis morphogenesis (GO:0090626),62,36,37.08,-,0.97,0.917,1,14,19.38,-,0.72,0.344,1,9,11.9,-,0.76,0.519,1,23,18.47,+,1.25,0.366,1
cellular response to salicylic acid stimulus (GO:0071446),31,18,18.54,-,0.97,1,1,11,9.69,+,1.14,0.718,1,7,5.95,+,1.18,0.659,1,6,9.24,-,0.65,0.434,1
cellular response to inorganic substance (GO:0071241),31,18,18.54,-,0.97,1,1,8,9.69,-,0.83,0.71,1,7,5.95,+,1.18,0.659,1,10,9.24,+,1.08,0.853,1
gene silencing by miRNA (GO:0035195),31,18,18.54,-,0.97,1,1,10,9.69,+,1.03,1,1,8,5.95,+,1.34,0.51,1,5,9.24,-,0.54,0.237,1
cotyledon development (GO:0048825),31,18,18.54,-,0.97,1,1,7,9.69,-,0.72,0.568,1,6,5.95,+,1.01,1,1,12,9.24,+,1.3,0.467,1
response to virus (GO:0009615),62,36,37.08,-,0.97,0.917,1,25,19.38,+,1.29,0.312,1,13,11.9,+,1.09,0.753,1,17,18.47,-,0.92,0.893,1
"regulation of alternative mRNA splicing, via spliceosome (GO:0000381)",31,18,18.54,-,0.97,1,1,5,9.69,-,0.52,0.238,1,6,5.95,+,1.01,1,1,10,9.24,+,1.08,0.853,1
reproductive shoot system development (GO:0090567),224,130,133.95,-,0.97,0.825,1,62,70.02,-,0.89,0.441,1,51,43,+,1.19,0.281,1,69,66.74,+,1.03,0.833,1
regulation of cellular macromolecule biosynthetic process (GO:2000112),1153,669,689.5,-,0.97,0.526,1,342,360.42,-,0.95,0.391,1,294,221.33,+,1.33,8.89E-06,0.000832,322,343.54,-,0.94,0.299,1
developmental process involved in reproduction (GO:0003006),919,533,549.57,-,0.97,0.574,1,242,287.27,-,0.84,0.0137,0.396,164,176.41,-,0.93,0.391,1,307,273.82,+,1.12,0.0721,1
regulation of signaling (GO:0023051),207,120,123.79,-,0.97,0.818,1,80,64.71,+,1.24,0.108,1,57,39.74,+,1.43,0.0178,0.429,40,61.68,-,0.65,0.00953,0.598
cellular macromolecule localization (GO:0070727),452,262,270.3,-,0.97,0.694,1,152,141.29,+,1.08,0.436,1,66,86.77,-,0.76,0.0333,0.64,103,134.67,-,0.76,0.0118,0.656
regulation of macromolecule biosynthetic process (GO:0010556),1160,672,693.69,-,0.97,0.511,1,343,362.61,-,0.95,0.358,1,294,222.68,+,1.32,1.32E-05,0.00117,326,345.62,-,0.94,0.349,1
regulation of RNA metabolic process (GO:0051252),1121,649,670.37,-,0.97,0.504,1,329,350.42,-,0.94,0.302,1,291,215.19,+,1.35,2.83E-06,0.00033,315,334,-,0.94,0.358,1
regulation of root meristem growth (GO:0010082),19,11,11.36,-,0.97,1,1,4,5.94,-,0.67,0.626,1,2,3.65,-,0.55,0.561,1,6,5.66,+,1.06,0.816,1
purine ribonucleoside monophosphate biosynthetic process (GO:0009168),19,11,11.36,-,0.97,1,1,5,5.94,-,0.84,1,1,5,3.65,+,1.37,0.575,1,4,5.66,-,0.71,0.628,1
purine nucleoside monophosphate biosynthetic process (GO:0009127),19,11,11.36,-,0.97,1,1,5,5.94,-,0.84,1,1,5,3.65,+,1.37,0.575,1,4,5.66,-,0.71,0.628,1
branched-chain amino acid catabolic process (GO:0009083),19,11,11.36,-,0.97,1,1,12,5.94,+,2.02,0.0584,0.934,0,3.65,-, < 0.01,0.059,0.896,3,5.66,-,0.53,0.446,1
mitochondrial translation (GO:0032543),19,11,11.36,-,0.97,1,1,6,5.94,+,1.01,1,1,4,3.65,+,1.1,0.779,1,6,5.66,+,1.06,0.816,1
plant-type primary cell wall biogenesis (GO:0009833),19,11,11.36,-,0.97,1,1,6,5.94,+,1.01,1,1,1,3.65,-,0.27,0.233,1,8,5.66,+,1.41,0.37,1
regulation of phosphorelay signal transduction system (GO:0070297),19,11,11.36,-,0.97,1,1,7,5.94,+,1.18,0.651,1,6,3.65,+,1.65,0.276,1,3,5.66,-,0.53,0.446,1
alcohol biosynthetic process (GO:0046165),38,22,22.72,-,0.97,1,1,11,11.88,-,0.93,1,1,6,7.29,-,0.82,0.837,1,14,11.32,+,1.24,0.509,1
regulation of ethylene-activated signaling pathway (GO:0010104),19,11,11.36,-,0.97,1,1,7,5.94,+,1.18,0.651,1,6,3.65,+,1.65,0.276,1,3,5.66,-,0.53,0.446,1
peptide biosynthetic process (GO:0043043),311,180,185.98,-,0.97,0.741,1,78,97.22,-,0.8,0.0808,1,27,59.7,-,0.45,1.24E-05,0.00113,87,92.66,-,0.94,0.63,1
cellular amide metabolic process (GO:0043603),439,254,262.52,-,0.97,0.69,1,138,137.23,+,1.01,0.96,1,55,84.27,-,0.65,0.00182,0.0711,115,130.8,-,0.88,0.218,1
peptide metabolic process (GO:0006518),346,200,206.91,-,0.97,0.72,1,98,108.16,-,0.91,0.398,1,38,66.42,-,0.57,0.000541,0.0278,93,103.09,-,0.9,0.389,1
regulation of macromolecule metabolic process (GO:0060255),1578,912,943.65,-,0.97,0.389,1,472,493.27,-,0.96,0.376,1,378,302.92,+,1.25,5.01E-05,0.00341,445,470.17,-,0.95,0.284,1
regulation of signal transduction (GO:0009966),206,119,123.19,-,0.97,0.773,1,80,64.39,+,1.24,0.107,1,57,39.54,+,1.44,0.0175,0.423,40,61.38,-,0.65,0.0115,0.665
flower development (GO:0009908),213,123,127.38,-,0.97,0.777,1,57,66.58,-,0.86,0.314,1,48,40.89,+,1.17,0.308,1,65,63.46,+,1.02,0.886,1
cell division (GO:0051301),149,86,89.1,-,0.97,0.839,1,42,46.58,-,0.9,0.608,1,24,28.6,-,0.84,0.468,1,47,44.39,+,1.06,0.733,1
auxin metabolic process (GO:0009850),26,15,15.55,-,0.96,1,1,15,8.13,+,1.85,0.0654,0.985,8,4.99,+,1.6,0.242,1,4,7.75,-,0.52,0.278,1
macromolecule metabolic process (GO:0043170),3427,1977,2049.37,-,0.96,0.141,1,989,1071.25,-,0.92,0.0102,0.31,694,657.86,+,1.05,0.137,1,978,1021.08,-,0.96,0.168,1
translation (GO:0006412),307,177,183.59,-,0.96,0.704,1,75,95.97,-,0.78,0.052,0.871,25,58.93,-,0.42,4.89E-06,0.000517,87,91.47,-,0.95,0.716,1
regulation of nucleobase-containing compound metabolic process (GO:0019219),1171,675,700.27,-,0.96,0.435,1,341,366.05,-,0.93,0.242,1,299,224.79,+,1.33,6.12E-06,0.000624,327,348.9,-,0.94,0.288,1
regulation of gene expression (GO:0010468),1364,786,815.68,-,0.96,0.397,1,401,426.38,-,0.94,0.262,1,338,261.84,+,1.29,1.4E-05,0.00123,383,406.41,-,0.94,0.293,1
regulation of cell communication (GO:0010646),210,121,125.58,-,0.96,0.775,1,82,65.64,+,1.25,0.0959,1,57,40.31,+,1.41,0.023,0.513,40,62.57,-,0.64,0.00785,0.528
monovalent inorganic cation transport (GO:0015672),92,53,55.02,-,0.96,0.864,1,37,28.76,+,1.29,0.213,1,12,17.66,-,0.68,0.23,1,29,27.41,+,1.06,0.828,1
stomatal complex development (GO:0010374),33,19,19.73,-,0.96,1,1,8,10.32,-,0.78,0.587,1,6,6.33,-,0.95,1,1,13,9.83,+,1.32,0.382,1
positive regulation of cellular process (GO:0048522),561,323,335.48,-,0.96,0.594,1,179,175.36,+,1.02,0.791,1,126,107.69,+,1.17,0.111,1,145,167.15,-,0.87,0.12,1
purine ribonucleotide biosynthetic process (GO:0009152),73,42,43.65,-,0.96,0.923,1,24,22.82,+,1.05,0.812,1,8,14.01,-,0.57,0.17,1,15,21.75,-,0.69,0.205,1
establishment of protein localization to membrane (GO:0090150),73,42,43.65,-,0.96,0.923,1,22,22.82,-,0.96,1,1,7,14.01,-,0.5,0.0914,1,20,21.75,-,0.92,0.806,1
trichome morphogenesis (GO:0010090),47,27,28.11,-,0.96,0.905,1,12,14.69,-,0.82,0.646,1,6,9.02,-,0.67,0.454,1,16,14,+,1.14,0.653,1
posttranscriptional regulation of gene expression (GO:0010608),150,86,89.7,-,0.96,0.787,1,47,46.89,+,1,1,1,32,28.79,+,1.11,0.612,1,32,44.69,-,0.72,0.0919,1
organophosphate biosynthetic process (GO:0090407),236,135,141.13,-,0.96,0.705,1,76,73.77,+,1.03,0.84,1,33,45.3,-,0.73,0.0937,1,57,70.32,-,0.81,0.161,1
negative regulation of cellular metabolic process (GO:0031324),306,175,182.99,-,0.96,0.668,1,99,95.65,+,1.03,0.768,1,69,58.74,+,1.17,0.226,1,83,91.17,-,0.91,0.465,1
cellular protein localization (GO:0034613),432,247,258.34,-,0.96,0.6,1,143,135.04,+,1.06,0.55,1,59,82.93,-,0.71,0.0124,0.331,97,128.72,-,0.75,0.00997,0.599
acylglycerol metabolic process (GO:0006639),21,12,12.56,-,0.96,1,1,6,6.56,-,0.91,1,1,1,4.03,-,0.25,0.239,1,7,6.26,+,1.12,0.822,1
neutral lipid metabolic process (GO:0006638),21,12,12.56,-,0.96,1,1,6,6.56,-,0.91,1,1,1,4.03,-,0.25,0.239,1,7,6.26,+,1.12,0.822,1
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146),42,24,25.12,-,0.96,0.899,1,13,13.13,-,0.99,1,1,5,8.06,-,0.62,0.425,1,12,12.51,-,0.96,1,1
post-embryonic plant morphogenesis (GO:0090698),126,72,75.35,-,0.96,0.825,1,41,39.39,+,1.04,0.855,1,28,24.19,+,1.16,0.508,1,34,37.54,-,0.91,0.705,1
multi-multicellular organism process (GO:0044706),168,96,100.47,-,0.96,0.749,1,50,52.52,-,0.95,0.811,1,34,32.25,+,1.05,0.773,1,45,50.06,-,0.9,0.566,1
translational elongation (GO:0006414),21,12,12.56,-,0.96,1,1,6,6.56,-,0.91,1,1,6,4.03,+,1.49,0.427,1,4,6.26,-,0.64,0.485,1
supramolecular fiber organization (GO:0097435),98,56,58.6,-,0.96,0.803,1,23,30.63,-,0.75,0.239,1,12,18.81,-,0.64,0.153,1,45,29.2,+,1.54,0.0211,0.892
purine nucleotide biosynthetic process (GO:0006164),77,44,46.05,-,0.96,0.851,1,25,24.07,+,1.04,0.907,1,9,14.78,-,0.61,0.185,1,16,22.94,-,0.7,0.216,1
polyol metabolic process (GO:0019751),42,24,25.12,-,0.96,0.899,1,14,13.13,+,1.07,0.875,1,6,8.06,-,0.74,0.693,1,13,12.51,+,1.04,0.873,1
positive regulation of protein polymerization (GO:0032273),21,12,12.56,-,0.96,1,1,4,6.56,-,0.61,0.483,1,2,4.03,-,0.5,0.567,1,9,6.26,+,1.44,0.384,1
pollination (GO:0009856),168,96,100.47,-,0.96,0.749,1,50,52.52,-,0.95,0.811,1,34,32.25,+,1.05,0.773,1,45,50.06,-,0.9,0.566,1
nucleotide transport (GO:0006862),14,8,8.37,-,0.96,1,1,7,4.38,+,1.6,0.308,1,5,2.69,+,1.86,0.215,1,2,4.17,-,0.48,0.55,1
amylopectin biosynthetic process (GO:0010021),7,4,4.19,-,0.96,1,1,3,2.19,+,1.37,0.71,1,0,1.34,-, < 0.01,0.607,1,0,2.09,-, < 0.01,0.363,1
negative regulation of protein-containing complex assembly (GO:0031333),7,4,4.19,-,0.96,1,1,2,2.19,-,0.91,1,1,1,1.34,-,0.74,1,1,3,2.09,+,1.44,0.706,1
apocarotenoid biosynthetic process (GO:0043289),7,4,4.19,-,0.96,1,1,1,2.19,-,0.46,0.689,1,0,1.34,-, < 0.01,0.607,1,3,2.09,+,1.44,0.706,1
triterpenoid metabolic process (GO:0006722),7,4,4.19,-,0.96,1,1,1,2.19,-,0.46,0.689,1,1,1.34,-,0.74,1,1,6,2.09,+,2.88,0.0893,1
positive regulation of posttranscriptional gene silencing (GO:0060148),7,4,4.19,-,0.96,1,1,3,2.19,+,1.37,0.71,1,3,1.34,+,2.23,0.209,1,3,2.09,+,1.44,0.706,1
regulation of response to oxidative stress (GO:1902882),7,4,4.19,-,0.96,1,1,2,2.19,-,0.91,1,1,0,1.34,-, < 0.01,0.607,1,3,2.09,+,1.44,0.706,1
sphingolipid metabolic process (GO:0006665),35,20,20.93,-,0.96,1,1,15,10.94,+,1.37,0.319,1,10,6.72,+,1.49,0.306,1,11,10.43,+,1.05,0.861,1
peptide catabolic process (GO:0043171),7,4,4.19,-,0.96,1,1,5,2.19,+,2.29,0.172,1,1,1.34,-,0.74,1,1,0,2.09,-, < 0.01,0.363,1
mRNA transcription (GO:0009299),7,4,4.19,-,0.96,1,1,2,2.19,-,0.91,1,1,1,1.34,-,0.74,1,1,2,2.09,-,0.96,1,1
coenzyme A metabolic process (GO:0015936),7,4,4.19,-,0.96,1,1,5,2.19,+,2.29,0.172,1,2,1.34,+,1.49,0.644,1,0,2.09,-, < 0.01,0.363,1
deoxyribonucleotide biosynthetic process (GO:0009263),7,4,4.19,-,0.96,1,1,1,2.19,-,0.46,0.689,1,0,1.34,-, < 0.01,0.607,1,2,2.09,-,0.96,1,1
mitotic spindle organization (GO:0007052),14,8,8.37,-,0.96,1,1,4,4.38,-,0.91,1,1,0,2.69,-, < 0.01,0.146,1,7,4.17,+,1.68,0.296,1
amylopectin metabolic process (GO:2000896),7,4,4.19,-,0.96,1,1,3,2.19,+,1.37,0.71,1,0,1.34,-, < 0.01,0.607,1,0,2.09,-, < 0.01,0.363,1
peroxisome organization (GO:0007031),28,16,16.74,-,0.96,1,1,13,8.75,+,1.49,0.269,1,2,5.37,-,0.37,0.214,1,8,8.34,-,0.96,1,1
positive regulation of establishment of protein localization (GO:1904951),7,4,4.19,-,0.96,1,1,3,2.19,+,1.37,0.71,1,1,1.34,-,0.74,1,1,0,2.09,-, < 0.01,0.363,1
monovalent inorganic anion homeostasis (GO:0055083),14,8,8.37,-,0.96,1,1,7,4.38,+,1.6,0.308,1,3,2.69,+,1.12,0.747,1,3,4.17,-,0.72,0.777,1
sodium ion homeostasis (GO:0055078),7,4,4.19,-,0.96,1,1,3,2.19,+,1.37,0.71,1,3,1.34,+,2.23,0.209,1,2,2.09,-,0.96,1,1
protein monoubiquitination (GO:0006513),7,4,4.19,-,0.96,1,1,0,2.19,-, < 0.01,0.209,1,0,1.34,-, < 0.01,0.607,1,3,2.09,+,1.44,0.706,1
positive regulation of histone methylation (GO:0031062),14,8,8.37,-,0.96,1,1,2,4.38,-,0.46,0.388,1,0,2.69,-, < 0.01,0.146,1,6,4.17,+,1.44,0.431,1
N-glycan processing (GO:0006491),7,4,4.19,-,0.96,1,1,2,2.19,-,0.91,1,1,1,1.34,-,0.74,1,1,2,2.09,-,0.96,1,1
manganese ion transmembrane transport (GO:0071421),7,4,4.19,-,0.96,1,1,1,2.19,-,0.46,0.689,1,0,1.34,-, < 0.01,0.607,1,5,2.09,+,2.4,0.162,1
tertiary alcohol biosynthetic process (GO:1902645),7,4,4.19,-,0.96,1,1,1,2.19,-,0.46,0.689,1,0,1.34,-, < 0.01,0.607,1,3,2.09,+,1.44,0.706,1
production of siRNA involved in chromatin silencing by small RNA (GO:0070919),7,4,4.19,-,0.96,1,1,4,2.19,+,1.83,0.305,1,2,1.34,+,1.49,0.644,1,1,2.09,-,0.48,0.691,1
positive regulation of small molecule metabolic process (GO:0062013),14,8,8.37,-,0.96,1,1,5,4.38,+,1.14,0.789,1,2,2.69,-,0.74,1,1,3,4.17,-,0.72,0.777,1
fatty acid elongation (GO:0030497),7,4,4.19,-,0.96,1,1,0,2.19,-, < 0.01,0.209,1,0,1.34,-, < 0.01,0.607,1,4,2.09,+,1.92,0.289,1
mRNA cleavage (GO:0006379),7,4,4.19,-,0.96,1,1,3,2.19,+,1.37,0.71,1,1,1.34,-,0.74,1,1,0,2.09,-, < 0.01,0.363,1
positive regulation of intracellular signal transduction (GO:1902533),7,4,4.19,-,0.96,1,1,4,2.19,+,1.83,0.305,1,4,1.34,+,2.98,0.0862,1,0,2.09,-, < 0.01,0.363,1
intraspecies interaction between organisms (GO:0051703),7,4,4.19,-,0.96,1,1,3,2.19,+,1.37,0.71,1,1,1.34,-,0.74,1,1,2,2.09,-,0.96,1,1
positive regulation of response to DNA damage stimulus (GO:2001022),7,4,4.19,-,0.96,1,1,3,2.19,+,1.37,0.71,1,2,1.34,+,1.49,0.644,1,1,2.09,-,0.48,0.691,1
cellular response to molecule of bacterial origin (GO:0071219),7,4,4.19,-,0.96,1,1,3,2.19,+,1.37,0.71,1,4,1.34,+,2.98,0.0862,1,1,2.09,-,0.48,0.691,1
rRNA 5'-end processing (GO:0000967),7,4,4.19,-,0.96,1,1,1,2.19,-,0.46,0.689,1,2,1.34,+,1.49,0.644,1,2,2.09,-,0.96,1,1
defense response to virus (GO:0051607),35,20,20.93,-,0.96,1,1,12,10.94,+,1.1,0.734,1,6,6.72,-,0.89,1,1,8,10.43,-,0.77,0.589,1
positive regulation of intracellular protein transport (GO:0090316),7,4,4.19,-,0.96,1,1,3,2.19,+,1.37,0.71,1,1,1.34,-,0.74,1,1,0,2.09,-, < 0.01,0.363,1
positive regulation of mitotic sister chromatid separation (GO:1901970),7,4,4.19,-,0.96,1,1,2,2.19,-,0.91,1,1,2,1.34,+,1.49,0.644,1,1,2.09,-,0.48,0.691,1
purine nucleobase metabolic process (GO:0006144),14,8,8.37,-,0.96,1,1,4,4.38,-,0.91,1,1,4,2.69,+,1.49,0.516,1,4,4.17,-,0.96,1,1
positive regulation of reactive oxygen species metabolic process (GO:2000379),7,4,4.19,-,0.96,1,1,1,2.19,-,0.46,0.689,1,2,1.34,+,1.49,0.644,1,3,2.09,+,1.44,0.706,1
cell population proliferation (GO:0008283),7,4,4.19,-,0.96,1,1,4,2.19,+,1.83,0.305,1,5,1.34,+,3.72,0.0317,0.622,0,2.09,-, < 0.01,0.363,1
sulfate transport (GO:0008272),7,4,4.19,-,0.96,1,1,3,2.19,+,1.37,0.71,1,3,1.34,+,2.23,0.209,1,1,2.09,-,0.48,0.691,1
negative regulation of protein polymerization (GO:0032272),7,4,4.19,-,0.96,1,1,2,2.19,-,0.91,1,1,1,1.34,-,0.74,1,1,3,2.09,+,1.44,0.706,1
regulation of protein polymerization (GO:0032271),28,16,16.74,-,0.96,1,1,6,8.75,-,0.69,0.545,1,3,5.37,-,0.56,0.464,1,12,8.34,+,1.44,0.345,1
actin filament depolymerization (GO:0030042),7,4,4.19,-,0.96,1,1,2,2.19,-,0.91,1,1,0,1.34,-, < 0.01,0.607,1,4,2.09,+,1.92,0.289,1
actin polymerization or depolymerization (GO:0008154),14,8,8.37,-,0.96,1,1,6,4.38,+,1.37,0.598,1,1,2.69,-,0.37,0.491,1,7,4.17,+,1.68,0.296,1
guard mother cell differentiation (GO:0010444),7,4,4.19,-,0.96,1,1,1,2.19,-,0.46,0.689,1,0,1.34,-, < 0.01,0.607,1,3,2.09,+,1.44,0.706,1
regulation of oxidoreductase activity (GO:0051341),7,4,4.19,-,0.96,1,1,3,2.19,+,1.37,0.71,1,1,1.34,-,0.74,1,1,1,2.09,-,0.48,0.691,1
P-body assembly (GO:0033962),7,4,4.19,-,0.96,1,1,2,2.19,-,0.91,1,1,1,1.34,-,0.74,1,1,2,2.09,-,0.96,1,1
positive regulation of metaphase/anaphase transition of cell cycle (GO:1902101),7,4,4.19,-,0.96,1,1,2,2.19,-,0.91,1,1,2,1.34,+,1.49,0.644,1,1,2.09,-,0.48,0.691,1
drought recovery (GO:0009819),7,4,4.19,-,0.96,1,1,4,2.19,+,1.83,0.305,1,2,1.34,+,1.49,0.644,1,2,2.09,-,0.96,1,1
"defense response to bacterium, incompatible interaction (GO:0009816)",28,16,16.74,-,0.96,1,1,15,8.75,+,1.71,0.105,1,14,5.37,+,2.6,0.00521,0.176,2,8.34,-,0.24,0.0299,1
lipid droplet organization (GO:0034389),7,4,4.19,-,0.96,1,1,2,2.19,-,0.91,1,1,1,1.34,-,0.74,1,1,1,2.09,-,0.48,0.691,1
stomatal complex patterning (GO:0010375),7,4,4.19,-,0.96,1,1,2,2.19,-,0.91,1,1,2,1.34,+,1.49,0.644,1,2,2.09,-,0.96,1,1
positive regulation of mitotic metaphase/anaphase transition (GO:0045842),7,4,4.19,-,0.96,1,1,2,2.19,-,0.91,1,1,2,1.34,+,1.49,0.644,1,1,2.09,-,0.48,0.691,1
