




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	evolved_ref_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.adaptive_plasticity_ref_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.maladaptive_plasticity_ref_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	allexp_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	allexp_forGO.txt - REFLIST (12841)	evolved_ref_forGO.txt (166)	evolved_ref_forGO.txt (expected)	evolved_ref_forGO.txt (over/under)	evolved_ref_forGO.txt (fold Enrichment)	evolved_ref_forGO.txt (raw P-value)	evolved_ref_forGO.txt (FDR)	adaptive_plasticity_ref_forGO.txt (41)	adaptive_plasticity_ref_forGO.txt (expected)	adaptive_plasticity_ref_forGO.txt (over/under)	adaptive_plasticity_ref_forGO.txt (fold Enrichment)	adaptive_plasticity_ref_forGO.txt (raw P-value)	adaptive_plasticity_ref_forGO.txt (FDR)	maladaptive_plasticity_ref_forGO.txt (15)	maladaptive_plasticity_ref_forGO.txt (expected)	maladaptive_plasticity_ref_forGO.txt (over/under)	maladaptive_plasticity_ref_forGO.txt (fold Enrichment)	maladaptive_plasticity_ref_forGO.txt (raw P-value)	maladaptive_plasticity_ref_forGO.txt (FDR)
stem cell differentiation (GO:0048863)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
mismatch repair involved in maintenance of fidelity involved in DNA-dependent DNA replication (GO:0070716)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cutin biosynthetic process (GO:1901959)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cutin biosynthetic process (GO:1901957)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
response to arsenic-containing substance (GO:0046685)	9	0	.12	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
response to organophosphorus (GO:0046683)	7	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
response to DDT (GO:0046680)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
formation of anatomical boundary (GO:0048859)	7	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
formation by symbiont of syncytium involving giant cell for nutrient acquisition from host (GO:0052096)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
formation of specialized structure for nutrient acquisition from other organism involved in symbiotic interaction (GO:0052095)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
formation of specialized structure for nutrient acquisition from host (GO:0052093)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
auxin influx (GO:0060919)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
auxin transport (GO:0060918)	54	0	.70	-	 < 0.01	1.00E00	1.00E00	0	.17	-	 < 0.01	1.00E00	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00
prenylation (GO:0097354)	9	0	.12	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
autophagosome maturation (GO:0097352)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
release of seed from dormancy (GO:0048838)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
specification of petal number (GO:0048834)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
specification of floral organ number (GO:0048833)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
specification of plant organ number (GO:0048832)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of shoot system development (GO:0048831)	114	0	1.47	-	 < 0.01	4.08E-01	1.00E00	0	.36	-	 < 0.01	1.00E00	1.00E00	0	.13	-	 < 0.01	1.00E00	1.00E00
adventitious root development (GO:0048830)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
folic acid biosynthetic process (GO:0046656)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
folic acid metabolic process (GO:0046655)	7	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
tetrahydrofolate biosynthetic process (GO:0046654)	7	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
tetrahydrofolate metabolic process (GO:0046653)	19	0	.25	-	 < 0.01	1.00E00	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
root cap development (GO:0048829)	8	0	.10	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
vesicle cytoskeletal trafficking (GO:0099518)	12	0	.16	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
actin filament-based transport (GO:0099515)	14	0	.18	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
extracellular ATP signaling (GO:0106167)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of exoribonuclease activity (GO:1901918)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of exoribonuclease activity (GO:1901917)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
glycolate transmembrane transport (GO:0097339)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of membrane lipid metabolic process (GO:1905038)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of antifungal innate immune response (GO:1905036)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of antifungal innate immune response (GO:1905034)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
error-prone translesion synthesis (GO:0042276)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
ribosomal small subunit biogenesis (GO:0042274)	57	0	.74	-	 < 0.01	1.00E00	1.00E00	0	.18	-	 < 0.01	1.00E00	1.00E00	0	.07	-	 < 0.01	1.00E00	1.00E00
detection of peptidoglycan (GO:0032499)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
detection of lipopolysaccharide (GO:0032497)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
response to lipopolysaccharide (GO:0032496)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
response to peptidoglycan (GO:0032494)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
sideretin biosynthesis (GO:0106146)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
detection of molecule of fungal origin (GO:0032491)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
detection of molecule of bacterial origin (GO:0032490)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of organ growth (GO:0046622)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of organ growth (GO:0046621)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of organ growth (GO:0046620)	8	0	.10	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
amino acid import across plasma membrane (GO:0089718)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
ncRNA catabolic process (GO:0034661)	19	0	.25	-	 < 0.01	1.00E00	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of Rab protein signal transduction (GO:0032483)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
mature ribosome assembly (GO:0042256)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
ribosome assembly (GO:0042255)	54	0	.70	-	 < 0.01	1.00E00	1.00E00	0	.17	-	 < 0.01	1.00E00	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing small molecule catabolic process (GO:0034656)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
Golgi calcium ion transport (GO:0032472)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
tissue regeneration (GO:0042246)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of peroxidase activity (GO:2000470)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to UV (GO:0034644)	13	0	.17	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum calcium ion homeostasis (GO:0032469)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
Golgi calcium ion homeostasis (GO:0032468)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cytokinesis (GO:0032467)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cytokinesis (GO:0032465)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of sterol biosynthetic process (GO:0106118)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
modulation by symbiont of RNA levels in host (GO:0052018)	12	0	.16	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of peroxidase activity (GO:2000469)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of peroxidase activity (GO:2000468)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
glutathione transport (GO:0034635)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
endocytic recycling (GO:0032456)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-glutamine modification (GO:0018199)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidyl-cysteine modification (GO:0018198)	19	0	.25	-	 < 0.01	1.00E00	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
'de novo' NAD biosynthetic process from aspartate (GO:0034628)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidyl-asparagine modification (GO:0018196)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
'de novo' NAD biosynthetic process (GO:0034627)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine modification (GO:0018195)	7	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
fatty acid elongation, polyunsaturated fatty acid (GO:0034626)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
fatty acid elongation, monounsaturated fatty acid (GO:0034625)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
protein urmylation (GO:0032447)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to unfolded protein (GO:0034620)	24	0	.31	-	 < 0.01	1.00E00	1.00E00	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
chromosome condensation (GO:0030261)	15	0	.19	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular modified amino acid catabolic process (GO:0042219)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
terpene metabolic process (GO:0042214)	23	0	.30	-	 < 0.01	1.00E00	1.00E00	0	.07	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
mitotic spindle checkpoint (GO:0071174)	8	0	.10	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein import (GO:1904591)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
spindle assembly checkpoint (GO:0071173)	8	0	.10	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of development, heterochronic (GO:0040034)	27	0	.35	-	 < 0.01	1.00E00	1.00E00	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
site-specific DNA replication termination at RTS1 barrier (GO:0071171)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of translation, ncRNA-mediated (GO:0040033)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
site-specific DNA replication termination (GO:0071170)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
snRNA modification (GO:0040031)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of molecular function, epigenetic (GO:0040030)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
lipid glycosylation (GO:0030259)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of protein import (GO:1904589)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
establishment of protein localization to chromatin (GO:0071169)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
protein localization to chromatin (GO:0071168)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of gene expression, epigenetic (GO:0040029)	61	0	.79	-	 < 0.01	1.00E00	1.00E00	0	.19	-	 < 0.01	1.00E00	1.00E00	0	.07	-	 < 0.01	1.00E00	1.00E00
ribonucleoprotein complex localization (GO:0071166)	37	0	.48	-	 < 0.01	1.00E00	1.00E00	0	.12	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
protein nucleotidylation (GO:0018175)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to heat (GO:0034605)	40	0	.52	-	 < 0.01	1.00E00	1.00E00	0	.13	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00
DNA replication preinitiation complex assembly (GO:0071163)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of intracellular mRNA localization (GO:1904580)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidyl-cysteine oxidation (GO:0018171)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of rate of cell growth (GO:0061388)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of extent of cell growth (GO:0061387)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
cellulose biosynthetic process (GO:0030244)	34	0	.44	-	 < 0.01	1.00E00	1.00E00	0	.11	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
cellulose metabolic process (GO:0030243)	36	0	.47	-	 < 0.01	1.00E00	1.00E00	0	.11	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
autophagy of peroxisome (GO:0030242)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA acetylation (GO:1990884)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA acetylation (GO:1990882)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell cycle arrest (GO:0071158)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of embryonic development (GO:0040019)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cell cycle arrest (GO:0071156)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of multicellular organism growth (GO:0040014)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of 1-deoxy-D-xylulose-5-phosphate synthase activity (GO:1902395)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidyl-pyrromethane cofactor linkage (GO:0018160)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
locomotion (GO:0040011)	20	0	.26	-	 < 0.01	1.00E00	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of ion transmembrane transporter activity (GO:0032414)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of ion transmembrane transporter activity (GO:0032413)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of ion transmembrane transporter activity (GO:0032412)	10	0	.13	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of transporter activity (GO:0032411)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of transporter activity (GO:0032410)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
meiotic recombination checkpoint (GO:0051598)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
methylglyoxal catabolic process (GO:0051596)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
response to calcium ion (GO:0051592)	13	0	.17	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
protein oxidation (GO:0018158)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of growth rate (GO:0040009)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of transporter activity (GO:0032409)	11	0	.14	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular carbohydrate metabolic process (GO:0010677)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cellular carbohydrate metabolic process (GO:0010676)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
establishment of mitotic spindle localization (GO:0040001)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cellular carbohydrate metabolic process (GO:0010675)	31	0	.40	-	 < 0.01	1.00E00	1.00E00	0	.10	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
